Number,Alternate Numbering,General Doc Type,C&E Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 1903,HCM 1903,LEASE/RELEASE,LEASE,"Rudford, Gloucestershire",Documented,1357-03-19T00:00:00Z,,"1356/7,  Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19",,Rodeforde,"presuming this is Rudford (halfway between Highnam & Tibberton, NW of G); Haslem (rector = principal) in vicinity","1356/7, Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19, LEASE f"
HCM 2271,HCM 2271,LEASE/RELEASE,LEASE,"Hereford, Herefordshire",Documented,1358-06-11T00:00:00Z,,"1358,  Monday the Feast of St. Barnabas the Apostle |June 11]",,Hereford,,"1358, Monday the Feast of St. Barnabas the Apostle |June 11], LEASE"
HCM 2147,HCM 2147,LEASE/RELEASE,LEASE,"Hereford, Herefordshire",Documented,1361-05-20T00:00:00Z,,"1361,  the Feast of St. Ethelbert May 20.",,Hereford,,"1361, the Feast of St. Ethelbert May 20., LEASE"
HCM 11,HCM 11,LEASE/RELEASE,RELEASE,"Breinton, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, RELEASS"
HCM 125,HCM 125,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,land in (Pipewellestrete) & witnesses from Hereford,,"Late 13th. century!, RELEASE"
HCM 1266,HCM 1266,LEASE/RELEASE,RELEASE,"Norton Canon, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people from Norton Canonicorum,"Late 13th. century, RELEASE,"
HCM 1271,HCM 1271,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people from Hereford,"Late 13th century, RELEASE"
HCM 1395,HCM 1395,LEASE/RELEASE,RELEASE,"Colwall, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"lands at Colewell (granted by Bp of Hereford); Malvern Hills; nr Chevenham, which = witness name","Late 13th. century, RELEASE"
HCM 204,HCM 204,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"tenement in Wrouthale (index says ""Aubrey Street"" [i.e. Hereford]""","Late 13th. century, RELEASE"
HCM 508,HCM 508,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th century, RELEASE"
HCM 552,HCM 552,LEASE/RELEASE,RELEASE,"Lyde Arundel (Lude Godfrey), Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,orig Lude Godefrey,"Late 13th, century, RELEASE"
HCM 677,HCM 677,LEASE/RELEASE,RELEASE,"Dewsall, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, RELEASE"
HCM 77,HCM 77,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,bad OCR for clerk,"Late 13th. century, RELEASE, etek"
HCM 9,HCM 9,LEASE/RELEASE,RELEASE,"Breinton, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, RELBASE"
HCM 1067,HCM 1067,LEASE/RELEASE,RELEASE,"Sugwas Court Bishop's Palace, Herefordshire",Suggested,1287-01-01T00:00:00Z,1288-12-31T00:00:00Z,1287 e sirca 1288.,,,"attached to HCM 1066, which needs adding (1277-circa 1288); both = given at (suggested) Sugwas","1287 e sirca 1288., RELEASE"
HCM 1073,HCM 1073,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,igirea 1300.,approx,,,"igirea 1300., RELEASE"
HCM 404,HCM 404,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,(circa 1300).,approx,,,"(circa 1300)., RELEASE"
HCM 76,HCM 76,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,,"\girea 1300, RELEASE"
HCM 1472,HCM 1472,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1292-07-02T00:00:00Z,,"1292,  wednesday next after the Feast of the Apostles Peter and Paul (July 2)",,Hereford,,"1292, wednesday next after the Feast of the Apostles Peter and Paul (July 2), RELEASE"
HCM 529,HCM 529,LEASE/RELEASE,RELEASE,"Bishampton, Wychavon, Worcestershire",Suggested,1297-01-01T00:00:00Z,1297-12-31T00:00:00Z,Lgireg 1297].,approx,,,"Lgireg 1297]., RELEASE o"
HCM 379,HCM 379,LEASE/RELEASE,RELEASE,"Hereford Cathedral, Chapter House",Documented,1297-10-03T00:00:00Z,,"1297,  Tuesdey the eve of Ste Dionysius L October 3]",,chapter-house of Hereford,,"1297, Tuesdey the eve of Ste Dionysius L October 3], RELEASE"
HCM 703,HCM 703,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1297-12-27T00:00:00Z,,"1297,  the Feast of St. John the Apostle [December 27].",,Hereford,,"1297, the Feast of St. John the Apostle [December 27]., RELEASE,"
HCM 1287,HCM 1287,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1298-02-27T00:00:00Z,,"1297/8,  Thursdsy next after the Feast of St. Mathies,  Apostle {February 27]",,Hereford,,"1297/8, Thursdsy next after the Feast of St. Mathies, Apostle {February 27], RELEASE"
HCM 398,HCM 398,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Berly 14th century.,early 14th century,,,"Berly 14th century., RELEASE"
HCM 402,HCM 402,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Barly 14th century,early 14th century,,,"Barly 14th century, RELEASE"
HCM 684,HCM 684,LEASE/RELEASE,RELEASE,"Dewsall, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century.,early 14th century,,,"Early 14th century., RELEASE"
HCM 686,HCM 686,LEASE/RELEASE,RELEASE,"Dewsall, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century.,early 14th century,,,"Early 14th century., RELEASE,"
HCM 195,HCM 195,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1301-05-13T00:00:00Z,,"1301,  Saturday after the feast of the Ascension of the Lord | May 13]",,Hereford,,"1301, Saturday after the feast of the Ascension of the Lord | May 13], RELEASE"
HCM 423,HCM 423,LEASE/RELEASE,RELEASE,"Pitchcombe, Gloucestershire",Documented,1303-04-05T00:00:00Z,,"1303,  friday next before Easter | April 5.",,Pychenecoumbe,,"1303, friday next before Easter | April 5., RELEASE"
HCM 30,HCM 30,LEASE/RELEASE,RELEASE,"Breinton, Herefordshire",Suggested,1303-07-06T00:00:00Z,,"1303, July 6",,,lands & people as in prev doc given at B.,"1303, July 6, RELZASE"
HCM 1264,HCM 1264,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1306-05-25T00:00:00Z,,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]",,Hereford,,"1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE"
HCM 1265,HCM 1265,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1306-05-25T00:00:00Z,,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]",,Hereford,,"1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE"
HCM 1281,HCM 1281,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1306-05-25T00:00:00Z,,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]",,Hereford,,"1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE"
HCM 1489,HCM 1489,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1308-07-26T00:00:00Z,,"1308,  Friday next after the Feast of Saint James the Apostle [July 26]",,Hereford,,"1308, Friday next after the Feast of Saint James the Apostle [July 26], RELEASE"
HCM 406,HCM 406,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1308-12-05T00:00:00Z,,"[1308,  circa December 5.]",approx,Hereford,,"[1308, circa December 5.], RELEASE"
RBLR 1103,"RBLR 1103, HCM 2873",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1311-04-25T00:00:00Z,,1311.4.25,"1311,  Sunday,  the Feast of St. Mark the Evangelist [April 25].",Hereford,HCM 2873|INCLUDED; property in and people of|ALSO in RBLR,"1311.4.25, RELEASE"
RBLR 1106,"RBLR 1106, HCM 203",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1311-06-28T00:00:00Z,,1311.6.28,"1311,  Monday next after the Feast of the Nativity of John the Baptist [June 28]",Hereford,HCM 203|INCLUDED,"1311.6.28, RELEASE"
HCM 589,HCM 589,LEASE/RELEASE,RELEASE,"Hardwicke, Stroud, Gloucestershire",Documented,1311-07-22T00:00:00Z,,"1311,  Thursday next after the Feast of St. Margaret the Virgin [July 22].",,Herdewyk'.,,"1311, Thursday next after the Feast of St. Margaret the Virgin [July 22]., RELEASE"
RBLR 1107,"RBLR 1107, HCM 218",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1311-09-29T00:00:00Z,,1311.9.29,"1311,  Wednesday the Feast of St. Michael [September 29]",Hereford,HCM 218|INCLUDED,"1311.9.29, RELEASE"
RBLR 1201,"RBLR 1201, HCM 553",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1312-02-17T00:00:00Z,,1312.2.17,,Hereford,,"1312.2.17, RELEASE"
HCM 290,HCM 290,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1313-01-15T00:00:00Z,,"1312/3,  Monday next after the Feast of St. Hillary [January 15].",,Hereford,"1329, July 1","1312/3, Monday next after the Feast of St. Hillary [January 15]., RELEASE, 1529, Saturday next after the Feast of ,  Saints Peter and Paul the Apostles \July iI., LEASE"
HCM 352,HCM 352,LEASE/RELEASE,RELEASE,"Ledbury, Herefordshire",Documented,1315-04-14T00:00:00Z,,"1315, April 14",,Ledbury,,"1315, April 14, RELEASE"
HCM 150,HCM 150,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Suggested,1315-04-30T00:00:00Z,,"1315,  the day of the Vigil of the Ascension of the Jord,  Kalends of May [April 30]",,Hereford,people of and property at Hereford,"1315, the day of the Vigil of the Ascension of the Jord, Kalends of May [April 30], RELEASE"
HCM 536,HCM 536,LEASE/RELEASE,RELEASE,"Lower Bullingham (Lower Bollinghope), Herefordshire",Suggested,1315-06-16T00:00:00Z,,"1315,  Friday next before the least of the ,   Holy Trinity {dune 16].",,Bollinghope,RELEASE,"1315, Friday next before the least of the ,  Holy Trinity {dune 16]., RULEASS o"
HCM 559,HCM 559,LEASE/RELEASE,RELEASE,"Staunton nr Corse, Gloucestershire",Documented,1316-02-08T00:00:00Z,,"1315/6,  Sunday next after the Feast of the Purification of the Blessed Mary [February 8]",,Stanton,,"1315/6, Sunday next after the Feast of the Purification of the Blessed Mary [February 8], RELEASE"
HCM 2878,HCM 2878,LEASE/RELEASE,RELEASE,"Bosbury Palace Bishop's Manor, Herefordshire",Documented,1316-08-27T00:00:00Z,,"1316,  Friday next after the Feast of St. Bartholomew the Apostle [August 27].",,Bosebury,,"1316, Friday next after the Feast of St. Bartholomew the Apostle [August 27]., RELEASE"
HCM 45,HCM 45,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1316-08-29T00:00:00Z,,"1316,  Sunday nex after the Feast of St. Bartholomew the Apostle [August 29].",,Hereford,,"1316, Sunday nex after the Feast of St. Bartholomew the Apostle [August 29]., RELEASE"
HCM 385,HCM 385,LEASE/RELEASE,RELEASE,"Oxenhall, Gloucestershire",Suggested,1317-01-01T00:00:00Z,1350-12-31T00:00:00Z,"[First half of 14th cent.,  post 1316.]",approx,Oxenhale,land in and people of,"[First half of 14th cent., post 1316.], RELEASE"
HCM 681,HCM 681,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1317-01-15T00:00:00Z,,"1316/7,  Saturday next after the Feast of [?St. Hillary] [January 15]",,Hereford,,"1316/7, Saturday next after the Feast of [?St. Hillary] [January 15], RELEASE"
HCM 2879,HCM 2879,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1317-04-05T00:00:00Z,,"1317,  Tuesday next after the Feast of Easter [April 5]",,Hereford,,"1317, Tuesday next after the Feast of Easter [April 5], RELEASE"
HCM 90,HCM 90,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1317-04-26T00:00:00Z,,"1317,  Tuesday the morrow of St. Mark the Evangelist [April 26].",,Hereford,,"1317, Tuesday the morrow of St. Mark the Evangelist [April 26]., RELEASE"
HCM 378,HCM 378,LEASE/RELEASE,RELEASE,"Ludlow, Shropshire",Documented,1317-05-23T00:00:00Z,,"1317,  Monday next after the Feast of St. Germanus (May 23?).",,Lodelawe,,"1317, Monday next after the Feast of St. Germanus (May 23?)., RELEASE"
HCM 153,HCM 153,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1317-12-10T00:00:00Z,,"1317,  Saturday next after the Feast of St. Nicholas [December 10].",,Hereford,,"1317, Saturday next after the Feast of St. Nicholas [December 10]., RELEASE"
HCM 1193,HCM 1193,LEASE/RELEASE,RELEASE,"Aylestone, Leicestershire",Documented,1318-04-27T00:00:00Z,,"1318,  Thursday next before the Feast of . the Apostles Phillip and James {April 27]",,Aylnaston,"Aylestone = School, Court, ward in or nr Hereford? or is this Aylestone nr Leicester","1318, Thursday next before the Feast of . the Apostles Phillip and James {April 27], RELBASE"
RBLR 1901,"RBLR 1901, HCM 34",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1319-01-14T00:00:00Z,,1319.1.14,"1318/9,  Sunday the morrow of St,  Hilary ,   \Jenuary 14|",Hereford,HCM 34,"1319.1.14, RELEASE"
HCM 558,HCM 558,LEASE/RELEASE,RELEASE,"Staunton nr Corse, Gloucestershire",Documented,1319-07-19T00:00:00Z,,"1319,  the vigil of the Feast of St,  Margaret the Virgin {July 19]",,Stanton,aka Staunton juxta Cors--NOT Staunton on Wye Herefordshire,"1319, the vigil of the Feast of St, Margaret the Virgin {July 19], RELEASE"
HCM 1370,HCM 1370,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1319-07-29T00:00:00Z,,"1319,  Sunday next after the Feast of ,   Saint James the apostle {July 29].",,Hereford,,"1319, Sunday next after the Feast of ,  Saint James the apostle {July 29]., RELGASE"
RBLR 2004,"RBLR 2004, HCM 29",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1320-12-17T00:00:00Z,,1320.12.17,"1320,  Wednesday next after the Feast of St. lucia the Virgin (December 17",Hereford,HCM 29,"1320.12.17, RELEASE"
HCM 500,HCM 500,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1322-08-03T00:00:00Z,,"1322,  Tuesday next after the Feast of St. Peter ad Vincula {August 3)",,Hereford,RELEASE,"1322, Tuesday next after the Feast of St. Peter ad Vincula {August 3), RELSASE"
HCM 1306,HCM 1306,LEASE/RELEASE,RELEASE,"Diddlebury, Shropshire",Documented,1323-03-07T00:00:00Z,,"1522/3,  tioniey next before the Feast of ,   Saint Gregory the Pope |March 7].",,Dudelebury,"1322/3, RELEASE|Diddlebury, Shropshire (8 mi N of Ludlow)","1522/3, tioniey next before the Feast of ,  Saint Gregory the Pope |March 7]., RELZASE"
HCM 2884,HCM 2884,LEASE/RELEASE,RELEASE,"Llandaff Castle, Cardiff, Wales",Documented,1323-06-08T00:00:00Z,,"1323,  6 Id,  Jun. |June 8",,anaaff.,aka Old Bishop's Palace,"1323, 6 Id, Jun. |June 8,, RELEASE"
HCM 325,HCM 325,LEASE/RELEASE,RELEASE,"Thinghill Grange, Withington, Herefordshire",Documented,1325-03-13T00:00:00Z,,"1324/5,  Wednesday next after the Feast of St. Gregory the Pope | March 13]",,Parva Thinghulle,,"1324/5, Wednesday next after the Feast of St. Gregory the Pope | March 13], RELEASE"
HCM 342,HCM 342,LEASE/RELEASE,RELEASE,"Standish, Gloucestershire",Documented,1329-05-15T00:00:00Z,,"1329,  Monday next before the Feast of St. | Dunstan the Archbishop (May 15]",,Stanedisch,,"1329, Monday next before the Feast of St. | Dunstan the Archbishop (May 15], RELEASE"
HCM 339,HCM 339,LEASE/RELEASE,RELEASE,"Standish, Gloucestershire",Documented,1329-06-25T00:00:00Z,,,,,,added manually
HCM 496,HCM 496,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1331-02-07T00:00:00Z,,"1330/1,  Thursday next after the Feast of the ,   Purification of the Virgin Mary | February 7).",,Hereford,,"1330/1, Thursday next after the Feast of the ,  Purification of the Virgin Mary | February 7)., RELEASE"
HCM 324,HCM 324,LEASE/RELEASE,RELEASE,"Thinghill Grange, Withington, Herefordshire",Documented,1333-03-14T00:00:00Z,,"1332/3,  Sunday next after the Feast of ,   St. Gregory the Pope {March 14",,Parva Thinghulle,,"1332/3, Sunday next after the Feast of ,  St. Gregory the Pope {March 14, RELEASE"
HCM 43,HCM 43,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1334-02-25T00:00:00Z,,"1333/4,  Friday next after the Feast of St. Mathias the Apostle _February 25]",,Hereford,,"1333/4, Friday next after the Feast of St. Mathias the Apostle _February 25], RELEASE"
HCM 603,HCM 603,LEASE/RELEASE,RELEASE,"Walford, Ross-on-Wye, Herefordshire",Documented,1336-04-07T00:00:00Z,,"1336,  Sunday next after the Feast of St. Am se (April 7)",,Walford,,"1336, Sunday next after the Feast of St. Am se (April 7), RELEASE"
HCM 605,HCM 605,LEASE/RELEASE,RELEASE,"Walford, Ross-on-Wye, Herefordshire",Documented,1336-12-12T00:00:00Z,,"1336,  Thursday next after the Feast of the Conception of the Virgin Mary {December 12]",,W,,"1336, Thursday next after the Feast of the Conception of the Virgin Mary {December 12],, RELEASE"
HCM 517,HCM 517,LEASE/RELEASE,RELEASE,"Hereford, Widemarsh Moor (Widemarshmore)",Documented,1344-10-03T00:00:00Z,,Sunday next after the Feast of St. echael the Arehangel LOctober 3),,wydemersh'more,"two docs in one--needs to be split!, date per Penelope Index= 1344, HCM #1378--does this not belog here, as I suspect?","HCM 517, 2s, Sunday next after the Feast of St. echael the Arehangel LOctober 3), RELEASE, HCM 1378"
HCM 695,HCM 695,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1345-02-28T00:00:00Z,,"1344/5,  Monday next after the Feast of ,   St. Peter in cathedra [February 28].",,Hereford,,"1344/5, Monday next after the Feast of ,  St. Peter in cathedra [February 28]., RELEASE"
HCM 1473,HCM 1473,LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1345-12-30T00:00:00Z,,"1345,  Friday next before the Feast of the ,   Circumcision of our lord \December 30)",,Hereford,,"1345, Friday next before the Feast of the ,  Circumcision of our lord \December 30), RELEASE"
RBLR 4902-em,"RBLR 4902-em, HCM 2690-em",LEASE/RELEASE,RELEASE,"Hereford, Herefordshire",Documented,1349-06-07T00:00:00Z,,1349.6.7,,Hereford,"HCM 2690-em|(embedded doc), (embedded doc)","charter, June 7, 1349"
HCM 1584,HCM 1584,LEASE/RELEASE,RELEASE,"Tenbury Wells, Worcestershire",Documented,1351-05-27T00:00:00Z,,"1351,  Fri next after the Feast of   . * Saint Benelbert |May 27)»",,Temedebur',,"1351, Fri next after the Feast of   . * Saint Benelbert |May 27)», RELEASE"
HCM 735,HCM 735,LEASE/RELEASE,RELEASE,"Hereford Cathedral, Chapter House",Documented,1354-08-29T00:00:00Z,,"1354,  Friday the Feast of the Decollation -   of Ste John the boptist (August 29).",,Hereford in  the chapter-house,,"1354, Friday the Feast of the Decollation -   of Ste John the boptist (August 29)., RELEASE"
HCM 672,HCM 672,LEASE/RELEASE,RELEASE,"Gloucester, Gloucestershire",Documented,1357-06-23T00:00:00Z,,"1357,  Friday the Vigil of the Nativity of St. John the Baptist (June 23).",,Gloucester.,,"1357, Friday the Vigil of the Nativity of St. John the Baptist (June 23)., RELEASE"
HCM 1320-em,HCM 1320-em,LETTER,APOSTOLIC LETTER,"Avignon, France",Documented,1319-01-01T00:00:00Z,1320-12-31T00:00:00Z,fourth year of the Pontificate of John |XXTI\ (1519/20),fourth XXTI\ (1319/20,ee 9 mass,(printed in Capes),"letters, fourth year of the Pontificate of John |XXTI\ (1519/20)"
HCM 3005a,HCM 3005a,LETTER,APOSTOLIC LETTERS,"Avignon, France",Suggested,1324-05-11T00:00:00Z,,"1324,  5 Id,  may [May 11)",,,where is pope on 1324.5.11? (Avignon? Chateauneuf des Papes?),"1324, 5 Id, may [May 11),, APOSTOLIC L&TTERS"
HCM 3005b,HCM 3005b,LETTER,APOSTOLIC LETTERS,"Avignon, France",Suggested,1324-05-11T00:00:00Z,,"1324,  5 id. May fimay 11",,,as prev,"1324, 5 id. May fimay 11, APOSTOLIC LETTERS"
RBLR 2003,"RBLR 2003, HCM 1372",LETTER,ARCHBISHOP'S LETTER,"Lambeth Palace, London",Documented,1320-07-31T00:00:00Z,,1320.7.31,"1320,  2 Kal. August |July 31|.",Lambeth,"HCM 1372; presum = Lambeth Palace, since letter from Archbp","1320.7.31, LETTER"
RBLR 2603-em,RBLR 2603-em,LETTER,ARCHBISHOP'S LETTER,"Lambeth Palace, London",Documented,1320-07-31T00:00:00Z,,1320.7.31,,,,
RBLR 2801-em,"RBLR 2801-em, HCM 1051-em",LETTER,ARCHBISHOP'S LETTER,"Lambeth Palace, London",Suggested,1320-07-31T00:00:00Z,,1320.7.31,cf RBLR 2603-em,,"RBLR 2801-em=HCM 1051-em|(embedded doc)|(PS unclear whether the embedded letter from Archb also specifically mentions RB & J de la Felde, or not, so have left blank for now), (embedded doc)","letter, 31 July 1320,"
HCM 3155-em1,HCM 3155-em1,LETTER,ARCHEPISCOPAL LETTER,"Bermondsey, London",Documented,1314-05-07T00:00:00Z,,7 May 1314,,,where was pope? find date in HRS p.519-20,added manually
HCM 1911,HCM 1911,LETTER,LETTER,RESEARCH,Uncertain,1275-01-01T00:00:00Z,1325-12-31T00:00:00Z,|Late 13th = early 14th century.,|Late 13th = early 14th century.,,"anonymous letter sent to HC, no other placenames","|Late 13th = early 14th century., LETTER"
HCM 2818,HCM 2818,LETTER,LETTER,"Lyre Abbey, La Vieille-Lyre, Normandy, France",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,monastery of Lyre,letter from abbot of Lyre,"Late 13th. century, LETTER"
HCM 2128,HCM 2128,LETTER,LETTER,"Hereford, Herefordshire",Documented,1283-03-12T00:00:00Z,,"1282/3,  St. Gregory [?March 12]",,Hereford,,"1282/3, St. Gregory [?March 12], LETTER"
HCM 2130,HCM 2130,LETTER,LETTER,"Seez Abbey Saint-Martin-de-Seez, Lower Normandy",Suggested,1283-04-06T00:00:00Z,,"1283 MS, .1282,  Tuesday before Palm Sunday |April 6}",,monastery of St. Martin of Seez,,"1283 MS,.1282, Tuesday before Palm Sunday |April 6}, LETTER"
HCM 1645,HCM 1645,LETTER,LETTER,"Bury St Edmunds, Suffolk",Documented,1296-12-24T00:00:00Z,7/21/1903 0:00:00,1297-98 26 Edward I.,,Ste Edmunds,where does king stay in (Bury) St Edmunds?,"1297-98 26 Edward I., LETTER"
HCM 2798,HCM 2798,LETTER,LETTER,"Hereford, Herefordshire",Documented,1298-06-18T00:00:00Z,,"1298,  14 Kal. July L June 18.",,Hereford,,"1298, 14 Kal. July L June 18., LETTER"
HCM 2853,HCM 2853,LETTER,LETTER,RESEARCH,Uncertain,1300-03-01T00:00:00Z,1399-03-01T00:00:00Z,"?14th century,  Mareh 1","exact day, approx year",,Letter from the Privy Seal--from where (Westminster? Tower?) do these issue?,"?14th century, Mareh 1, LETTER,"
HCM 1442,HCM 1442,LETTER,LETTER,"London, St Paul's Cathedral, chapter house",Documented,1306-01-01T00:00:00Z,1306-12-31T00:00:00Z,[?1306],,chapter-house the cathedral church of London,find site of pre-Wren medieval building?,"[?1306], LETTER"
HCM 1443,HCM 1443,LETTER,LETTER,"Avignon, France",Documented,1306-07-08T00:00:00Z,,"[?1306],  July 8.",,Avignon,,"[?1306], July 8., LETTER"
HCM 1929,HCM 1929,LETTER,LETTER,"London, Westminster",Documented,1313-11-07T00:00:00Z,,"1313, November 7",,Westminster,,"1313, November 7, LETTER"
HCM 1652,HCM 1652,LETTER,LETTER,"Lincoln, Lincolnshire",Documented,1314-10-16T00:00:00Z,,"1314,  October 16.",,Lincoln,wherever Ed II is staying,"1314, October 16., LETTER"
HCM 1931,HCM 1931,LETTER,LETTER,"Bosbury Palace Bishop's Manor, Herefordshire",Documented,1315-05-21T00:00:00Z,,"1315,  12 Kal. June [May 21]",,Bosebury,date of main doc,"1315, 12 Kal. June [May 21], LETTER"
HCM 2995,HCM 2995,LETTER,LETTER,"Avignon, France",Documented,1317-07-17T00:00:00Z,,"[circa 1317],  15 Kal. July [June 17].","exact day, approx year",Avignon,,"[circa 1317], 15 Kal. July [June 17]., LETTER"
HCM 1366,HCM 1366,LETTER,LETTER,"Thame Abbey, Oxfordshire",Documented,1317-08-22T00:00:00Z,,"1317,  11 Kal. September [August 22]",,Thame,"Thame = presum Thame Abbey, freq host to AO en route to/from London","1317, 11 Kal. September [August 22], LETTER"
HCM 1367,HCM 1367,LETTER,LETTER,"Evesham Abbey, Worcestershire",Documented,1317-09-17T00:00:00Z,,"1317, September 17",,Evesham,AO itin = at Evesham = presum Evesham Abbey,"1317, September 17, LETTER"
HCM 1368,HCM 1368,LETTER,LETTER,"Highbury-beside-London, North London",Documented,1317-11-26T00:00:00Z,,"1317, November 26",,Heibur' near London,poss residence of Bartholomew de Badlesmere?,"1317, November 26,, LETTER"
HCM 1369,HCM 1369,LETTER,LETTER,"Highbury-beside-London, North London",Documented,1318-06-10T00:00:00Z,,"Probably 1318|,  June 10",,Heibur' near London,Probable date,"Probably 1318|, June 10,, LETTER"
HCM 2799,HCM 2799,LETTER,LETTER,London,Documented,1318-11-23T00:00:00Z,,"13187?,  Thursday,  the Feast of St.   Clement |November 23 |.",,London,,"13187?, Thursday, the Feast of St.   Clement |November 23 |., LETTER"
HCM 1444,HCM 1444,LETTER,LETTER,"Lambeth Palace, London",Documented,1320-11-18T00:00:00Z,,"1520,  14 Kal,  December |Novenber 18|",,Lambeth,1320,"1520, 14 Kal, December |Novenber 18|, LETTER"
HCM 3004,HCM 3004,LETTER,LETTER,"Avignon, France",Documented,1323-01-10T00:00:00Z,,"\oirea 1323|,  Monday next after Spiphany",,Avignon,"given the dating of this action at Avignon, consider whether other docs involving Schorne & Murimuth = likewise located?","\oirea 1323|, Monday next after Spiphany, LETTER"
