ID,type,source,source_number,handlist_number,Label,date_text,date_notes,earliest_date,latest_date,NodeType
2713,institution,,,5101,RBLR 5101,1351.02.20,(RMH: “It would look as though RB had died either late January or early Feb.”),"","",Document
2714,institution,,,4101,RBLR 4101,1341.8.5,"",1341-08-05,"",Document
2715,institution,,,4406,RBLR 4406,1344.4.8,"",1344-04-08,"",Document
2716,institution,,,5001,RBLR 5001,1350.4.7,"",1350-04-07,"",Document
2717,institution,,,5103,RBLR 5103,"1351.5.13, 1351.5.13","",1351-05-13,"",Document
2718,institution,,,5105,RBLR 5105,1351.7.29,"",1351-07-29,"",Document
2719,institution,,,4010,RBLR 4010,1340.10.26,confirmation by AO of exchange instituted by Bp of H (in embedded doc),1340-10-26,"",Document
2720,institution,,,4005,RBLR 4005,1340.9.20,"",1340-09-20,"",Document
2721,institution,,,4502,RBLR 4502,1345.5.14,"",1345-05-14,"",Document
2722,institution,,,4805,RBLR 4805,1348.4.13,RB swears canonical obedience “apparently in person” (RMH),1348-04-13,"",Document
2723,institution,HCM,2068,,HCM 2068,"1327,  May 26.","",1327-05-26,"",Document
2724,institution,,,4010-em,RBLR 4010-em,1340.09.20,"date of enactment by “TCh” Bp of H, confirmed by AO in RBLR 4010",1340-09-20,"",Document
2725,institution,,,3801,RBLR 3801,1338.5.16,"",1338-05-16,"",Document
2726,institution,,,3802,RBLR 3802,1338.10.8,"",1338-10-08,"",Document
2727,institution,,,3803,RBLR 3803,1338.10.9,"",1338-10-09,"",Document
2728,institution,,,3904,RBLR 3904,1339.10.30,"",1339-10-30,"",Document
2729,institution,,,4001,RBLR 4001,1340.2.16,"",1340-02-16,"",Document
2730,institution,,,4002,RBLR 4002,1340.3.13,"",1340-03-13,"",Document
2731,institution,,,1301,RBLR 1301,1313.1.19,"",1313-01-19,"",Document
2732,institution,,,3112,RBLR 3112,1331.9.20,"",1331-09-20,"",Document
2733,institution,,,3113,RBLR 3113,1331.9.20,"",1331-09-20,"",Document
2734,institution,,,2902,RBLR 2902,1329.10.17,"",1329-10-17,"",Document
2735,institution,,,2903,RBLR 2903,1329.10.17,"",1329-10-17,"",Document
2736,institution,,,3104,RBLR 3104,1331.6.21,"",1331-06-21,"",Document
2737,institution,,,3110,RBLR 3110,1331.9.19-20,1331 sept 20,1331-09-19,1331 sept 20,Document
2738,institution,,,3111,RBLR 3111,1331.9.19-20,1331 sept 20,1331-09-19,1331 sept 20,Document
2739,institution,,,2803,RBLR 2803,1328.6.19,"",1328-06-19,"",Document
2740,institution,,,4804,RBLR 4804,1348.4.7,"",1348-04-07,"",Document
2741,institution,,,3205,RBLR 3205,1332.10.28,"",1332-10-28,"",Document
2742,institution,,,3501,RBLR 3501,1335.6.10,"",1335-06-10,"",Document
2743,institution,,,3706,RBLR 3706,1337.12.30,"",1337-12-30,"",Document
2744,institution,HCM,2078,,HCM 2078,"1353,  December 19.","",1353-12-19,"",Document
2745,institution,HCM,2503,,HCM 2503,"Late 14th century Thursday,  in the Vigil of St. Luke the Evangelist","",1375-10-18,1400-10-18,Document
2746,institution,,,2804,RBLR 2804,1328.10.8,"",1328-10-08,"",Document
2747,lease/release,HCM,2067,,HCM 2067,"13/5,  Thursday next after the Feast of st. Mathias the Apostle | February 23].","",1325-02-23,"",Document
2748,lease/release,HCM,690,,HCM 690,"1282,  Michselmas | September 29.","",1282-09-29,"",Document
2749,lease/release,HCM,689,,HCM 689,"1285,  the Feast of the Pentecost [May 13]","",1285-05-13,"",Document
2750,lease/release,HCM,2285,,HCM 2285,"1286,  the Nativity of Our Lord December 25","",1286-12-25,"",Document
2751,lease/release,HCM,588,,HCM 588,"1287,  Michaelmas | September 29.","",1287-09-29,"",Document
2752,lease/release,HCM,1583,,HCM 1583,"1287,  the Feast of St. Thomas the Apostle December 21)","",1287-12-21,"",Document
2753,lease/release,HCM,224,,HCM 224,"1295,  Priday next before the Feast of ,   St. Leurenee the Martyr jAugust 5]","",1295-08-05,"",Document
2754,lease/release,HCM,1481,,HCM 1481,first half 14th,first half 14th century,1300-01-01,1350-12-31,Document
2755,lease/release,HCM,1681,,HCM 1681,Rarly 14th centu,approx,1300-01-01,1325-12-31,Document
2756,lease/release,HCM,1898,,HCM 1898,"1303,  Monday next after the Feast of St,  ,    Dunsten,  bishop and confessor j|May 20].","",1303-05-20,"",Document
2757,lease/release,HCM,2312,,HCM 2312,"1304,  Wednesday next after the Feast of ,   at. luke the Evangelist [October 21].","",1304-10-21,"",Document
2758,lease/release,HCM,1622,,HCM 1622,"1307,  Monday next after the Feast of St. Mathew the Apostle [September 25]","",1307-09-25,"",Document
2759,lease/release,HCM,2145,,HCM 2145,"1309,  Sunday next after the Feast of St. Ambrose [April 6]","",1309-04-06,"",Document
2760,lease/release,HCM,2463,,HCM 2463,"1309/10,  Thursday next after the Feast of St. Valentine [February 19]","",1310-02-19,"",Document
2761,lease/release,HCM,3198,,HCM 3198,"1309/10,  Thursday next after the Feast of St. Valentine [February 19].","",1310-02-19,"",Document
2762,lease/release,HCM,181,,HCM 181,"1310,  Monday next before the Feast of All Saints [October 26]","",1310-10-26,"",Document
2763,lease/release,HCM,670,,HCM 670,"1311,  the Feast of the Annunciation of the Blessed Virgin [March 25]","",1311-03-25,"",Document
2764,lease/release,HCM,3180,,HCM 3180,"1312,  Friday next after the Feast of the Annunciation of the Blessed Mary [March 31]","",1312-03-31,"",Document
2765,lease/release,HCM,1746,,HCM 1746,"1312,  the Vigil of St. James the Apostle [July 24]","",1312-07-24,"",Document
2766,lease/release,HCM,12,1401,RBLR 1401,1314.6.1,"",1314-06-01,"",Document
2767,lease/release,HCM,1679,,HCM 1679,"1315,  Sunday next after the Feast of the Assumption of the Blessed Mary [August 17]","",1315-08-17,"",Document
2768,lease/release,HCM,597,,HCM 597,"1315/6,  the Feast of the Purification of the Virgin Mary [February 2].","",1316-02-02,"",Document
2769,lease/release,HCM,2464,,HCM 2464,"1317,  Friday,  in the Feast of 5t. Mary Magdalene [July 22]","",1317-07-22,"",Document
2770,lease/release,HCM,1892-em,,HCM 1892-em,Saturday next before the Feast of St. James the oe in the year 1317,"",1317-07-23,"",Document
2771,lease/release,HCM,2465,,HCM 2465,"1322,  Sunday next after the Feast_of St. John before the latin Gate [may 9}","",1322-05-09,"",Document
2772,lease/release,HCM,1667,,HCM 1667,"1322,  Thursday next after the Feast of ,   St. Sartin [November 18","",1322-11-18,"",Document
2773,lease/release,HCM,2286,,HCM 2286,"1324, August 5","",1324-08-05,"",Document
2774,lease/release,HCM,1908,,HCM 1908,"1324,  September 17.","",1324-09-17,"",Document
2775,lease/release,HCM,2066,,HCM 2066,"1324/5,  Thursday next after the Feast of Ste Mathias the Apostle | February 28]","",1325-02-28,"",Document
2776,lease/release,HCM,340,,HCM 340,"1329,  Wednesday the Vigil of the Feast of ,    St. Peter and St,  Paul the Apostles [June 28","",1329-06-28,"",Document
2777,lease/release,HCM,2914,,HCM 2914,"","",1329-07-01,"",Document
2778,lease/release,HCM,1685,,HCM 1685,"","",1333-01-01,"",Document
2779,lease/release,HCM,1879,,HCM 1879,"1333,  Friday the Feast of St. Barnabas the Apostle LJune 11].","",1333-06-11,"",Document
2780,lease/release,HCM,1871,,HCM 1871,"1333,  Thursdey next after the Feast of St. James (July 29).","",1333-07-29,"",Document
2781,lease/release,HCM,1724,,HCM 1724,"1336,  the Feast of St. Michael | September 29.","",1336-09-29,"",Document
2782,lease/release,HCM,2455,,HCM 2455,"1336/7,  Sunday next sfter the Feast of St. Hillary LJanuary 15].","",1337-01-15,"",Document
2783,lease/release,HCM,1601,,HCM 1601,"1338,  Monday next before the Feast of the ,   Nativity of the Blessed Mary |September 7]","",1338-09-07,"",Document
2784,lease/release,HCM,1376,,HCM 1376,"1338/9,  February 7-13.",1339-02-13T00:00:00Z,1339-02-07,1339-02-13,Document
2785,lease/release,HCM,1881,,HCM 1881,"1340,  wednesday in the Vigil of the Feast of the Ascension of our Lord iMay 24].","",1340-05-24,"",Document
2786,lease/release,HCM,1904,,HCM 1904,"1341,  Monday next before the Feast of St. Thomas the Apostle . December 17","",1341-12-17,"",Document
2787,lease/release,HCM,1611,,HCM 1611,"1342,  Tuesday the Feast of St. Barnabas the Apostle | June 11j","",1342-06-11,"",Document
2788,lease/release,HCM,349,,HCM 349,"1342,  Michaelmas | September 29.","",1342-09-29,"",Document
2789,lease/release,HCM,2122,,HCM 2122,"1346,  Wednesday the vigil of St. Andrew the Apostle [November 29).","",1346-11-29,"",Document
2790,lease/release,HCM,1887,,HCM 1887,"50,  Sunday,  the Feast of St. Guthlac ,   Meets 11]","",1350-04-11,"",Document
2791,lease/release,HCM,1249,,HCM 1249,"1350,  June 6.","",1350-06-06,"",Document
2792,lease/release,HCM,598,,HCM 598,"1351,  the Feast of St. Ethelbert the king and martyr |May 20","",1351-05-20,"",Document
2793,lease/release,HCM,2508,,HCM 2508,"1551,  the Feast of St,  Michael the ,   ' Archangel [September 29]","",1351-09-29,"",Document
2794,lease/release,HCM,2925,,HCM 2925,"1351/2,  Thursday next after the Feast of the ,   urification of the Blessed Virgin Mary February 9","",1352-02-09,"",Document
2795,lease/release,HCM,716,,HCM 716,"1351/2,  6 Kalends of March |Pebruary 25|.","",1352-02-25,"",Document
2796,lease/release,HCM,2509,,HCM 2509,"1352,  the Feast of the Nativity of St,  ,   John the Baptist {June 24)","",1352-06-24,"",Document
2797,lease/release,HCM,2468,,HCM 2468,"1354,  May 1.","",1354-05-01,"",Document
2798,lease/release,HCM,2146,,HCM 2146,"1355,  the Feast of St. Ethelbert May 20","",1355-05-20,"",Document
2799,lease/release,HCM,2510,,HCM 2510,"1355,  the Feast of the Nativity of St. John the Beptist (June 24).","",1355-06-24,"",Document
2800,lease/release,HCM,2454,,HCM 2454,"1355,  Monday the Feast of Ste Matthew the Apostle LSeptember 21]","",1355-09-21,"",Document
2801,lease/release,HCM,1903,,HCM 1903,"1356/7,  Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19","",1357-03-19,"",Document
2802,lease/release,HCM,2271,,HCM 2271,"1358,  Monday the Feast of St. Barnabas the Apostle |June 11]","",1358-06-11,"",Document
2803,lease/release,HCM,2147,,HCM 2147,"1361,  the Feast of St. Ethelbert May 20.","",1361-05-20,"",Document
2804,lease/release,HCM,11,,HCM 11,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2805,lease/release,HCM,125,,HCM 125,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2806,lease/release,HCM,1266,,HCM 1266,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2807,lease/release,HCM,1271,,HCM 1271,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2808,lease/release,HCM,1395,,HCM 1395,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2809,lease/release,HCM,204,,HCM 204,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2810,lease/release,HCM,508,,HCM 508,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2811,lease/release,HCM,552,,HCM 552,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2812,lease/release,HCM,677,,HCM 677,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2813,lease/release,HCM,77,,HCM 77,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2814,lease/release,HCM,9,,HCM 9,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2815,lease/release,HCM,1067,,HCM 1067,1287 e sirca 1288.,"",1287-01-01,1288-12-31,Document
2816,lease/release,HCM,1073,,HCM 1073,igirea 1300.,approx,1290-01-01,1310-12-31,Document
2817,lease/release,HCM,404,,HCM 404,(circa 1300).,approx,1290-01-01,1310-12-31,Document
2818,lease/release,HCM,76,,HCM 76,circa 1300,approx,1290-01-01,1310-12-31,Document
2819,lease/release,HCM,1472,,HCM 1472,"1292,  wednesday next after the Feast of the Apostles Peter and Paul (July 2)","",1292-07-02,"",Document
2820,lease/release,HCM,529,,HCM 529,Lgireg 1297].,approx,1297-01-01,1297-12-31,Document
2821,lease/release,HCM,379,,HCM 379,"1297,  Tuesdey the eve of Ste Dionysius L October 3]","",1297-10-03,"",Document
2822,lease/release,HCM,703,,HCM 703,"1297,  the Feast of St. John the Apostle [December 27].","",1297-12-27,"",Document
2823,lease/release,HCM,1287,,HCM 1287,"1297/8,  Thursdsy next after the Feast of St. Mathies,  Apostle {February 27]","",1298-02-27,"",Document
2824,lease/release,HCM,398,,HCM 398,Berly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2825,lease/release,HCM,402,,HCM 402,Barly 14th century,early 14th century,1300-01-01,1325-12-31,Document
2826,lease/release,HCM,684,,HCM 684,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2827,lease/release,HCM,686,,HCM 686,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2828,lease/release,HCM,195,,HCM 195,"1301,  Saturday after the feast of the Ascension of the Lord | May 13]","",1301-05-13,"",Document
2829,lease/release,HCM,423,,HCM 423,"1303,  friday next before Easter | April 5.","",1303-04-05,"",Document
2830,lease/release,HCM,30,,HCM 30,"1303, July 6","",1303-07-06,"",Document
2831,lease/release,HCM,1264,,HCM 1264,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]","",1306-05-25,"",Document
2832,lease/release,HCM,1265,,HCM 1265,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]","",1306-05-25,"",Document
2833,lease/release,HCM,1281,,HCM 1281,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]","",1306-05-25,"",Document
2834,lease/release,HCM,1489,,HCM 1489,"1308,  Friday next after the Feast of Saint James the Apostle [July 26]","",1308-07-26,"",Document
2835,lease/release,HCM,406,,HCM 406,"[1308,  circa December 5.]",approx,1308-12-05,"",Document
2836,lease/release,HCM,2873,1103,RBLR 1103,1311.4.25,"1311,  Sunday,  the Feast of St. Mark the Evangelist [April 25].",1311-04-25,"",Document
2837,lease/release,HCM,203,1106,RBLR 1106,1311.6.28,"1311,  Monday next after the Feast of the Nativity of John the Baptist [June 28]",1311-06-28,"",Document
2838,lease/release,HCM,589,,HCM 589,"1311,  Thursday next after the Feast of St. Margaret the Virgin [July 22].","",1311-07-22,"",Document
2839,lease/release,HCM,218,1107,RBLR 1107,1311.9.29,"1311,  Wednesday the Feast of St. Michael [September 29]",1311-09-29,"",Document
2840,lease/release,HCM,553,1201,RBLR 1201,1312.2.17,"",1312-02-17,"",Document
2841,lease/release,HCM,290,,HCM 290,"1312/3,  Monday next after the Feast of St. Hillary [January 15].","",1313-01-15,"",Document
2842,lease/release,HCM,352,,HCM 352,"1315, April 14","",1315-04-14,"",Document
2843,lease/release,HCM,150,,HCM 150,"1315,  the day of the Vigil of the Ascension of the Jord,  Kalends of May [April 30]","",1315-04-30,"",Document
2844,lease/release,HCM,536,,HCM 536,"1315,  Friday next before the least of the ,   Holy Trinity {dune 16].","",1315-06-16,"",Document
2845,lease/release,HCM,559,,HCM 559,"1315/6,  Sunday next after the Feast of the Purification of the Blessed Mary [February 8]","",1316-02-08,"",Document
2846,lease/release,HCM,2878,,HCM 2878,"1316,  Friday next after the Feast of St. Bartholomew the Apostle [August 27].","",1316-08-27,"",Document
2847,lease/release,HCM,45,,HCM 45,"1316,  Sunday nex after the Feast of St. Bartholomew the Apostle [August 29].","",1316-08-29,"",Document
2848,lease/release,HCM,385,,HCM 385,"[First half of 14th cent.,  post 1316.]",approx,1317-01-01,1350-12-31,Document
2849,lease/release,HCM,681,,HCM 681,"1316/7,  Saturday next after the Feast of [?St. Hillary] [January 15]","",1317-01-15,"",Document
2850,lease/release,HCM,2879,,HCM 2879,"1317,  Tuesday next after the Feast of Easter [April 5]","",1317-04-05,"",Document
2851,lease/release,HCM,90,,HCM 90,"1317,  Tuesday the morrow of St. Mark the Evangelist [April 26].","",1317-04-26,"",Document
2852,lease/release,HCM,378,,HCM 378,"1317,  Monday next after the Feast of St. Germanus (May 23?).","",1317-05-23,"",Document
2853,lease/release,HCM,153,,HCM 153,"1317,  Saturday next after the Feast of St. Nicholas [December 10].","",1317-12-10,"",Document
2854,lease/release,HCM,1193,,HCM 1193,"1318,  Thursday next before the Feast of . the Apostles Phillip and James {April 27]","",1318-04-27,"",Document
2855,lease/release,HCM,34,1901,RBLR 1901,1319.1.14,"1318/9,  Sunday the morrow of St,  Hilary ,   Jenuary 14|",1319-01-14,"",Document
2856,lease/release,HCM,558,,HCM 558,"1319,  the vigil of the Feast of St,  Margaret the Virgin {July 19]","",1319-07-19,"",Document
2857,lease/release,HCM,1370,,HCM 1370,"1319,  Sunday next after the Feast of ,   Saint James the apostle {July 29].","",1319-07-29,"",Document
2858,lease/release,HCM,29,2004,RBLR 2004,1320.12.17,"1320,  Wednesday next after the Feast of St. lucia the Virgin (December 17",1320-12-17,"",Document
2859,lease/release,HCM,500,,HCM 500,"1322,  Tuesday next after the Feast of St. Peter ad Vincula {August 3)","",1322-08-03,"",Document
2860,lease/release,HCM,1306,,HCM 1306,"1522/3,  tioniey next before the Feast of ,   Saint Gregory the Pope |March 7].","",1323-03-07,"",Document
2861,lease/release,HCM,2884,,HCM 2884,"1323,  6 Id,  Jun. |June 8","",1323-06-08,"",Document
2862,lease/release,HCM,325,,HCM 325,"1324/5,  Wednesday next after the Feast of St. Gregory the Pope | March 13]","",1325-03-13,"",Document
2863,lease/release,HCM,342,,HCM 342,"1329,  Monday next before the Feast of St. | Dunstan the Archbishop (May 15]","",1329-05-15,"",Document
2864,lease/release,HCM,339,,HCM 339,"","",1329-06-25,"",Document
2865,lease/release,HCM,496,,HCM 496,"1330/1,  Thursday next after the Feast of the ,   Purification of the Virgin Mary | February 7).","",1331-02-07,"",Document
2866,lease/release,HCM,324,,HCM 324,"1332/3,  Sunday next after the Feast of ,   St. Gregory the Pope {March 14","",1333-03-14,"",Document
2867,lease/release,HCM,43,,HCM 43,"1333/4,  Friday next after the Feast of St. Mathias the Apostle _February 25]","",1334-02-25,"",Document
2868,lease/release,HCM,603,,HCM 603,"1336,  Sunday next after the Feast of St. Am se (April 7)","",1336-04-07,"",Document
2869,lease/release,HCM,605,,HCM 605,"1336,  Thursday next after the Feast of the Conception of the Virgin Mary {December 12]","",1336-12-12,"",Document
2870,lease/release,HCM,517,,HCM 517,Sunday next after the Feast of St. echael the Arehangel LOctober 3),"",1344-10-03,"",Document
2871,lease/release,HCM,695,,HCM 695,"1344/5,  Monday next after the Feast of ,   St. Peter in cathedra [February 28].","",1345-02-28,"",Document
2872,lease/release,HCM,1473,,HCM 1473,"1345,  Friday next before the Feast of the ,   Circumcision of our lord December 30)","",1345-12-30,"",Document
2873,lease/release,HCM,2690-em,4902-em,RBLR 4902-em,1349.6.7,"",1349-06-07,"",Document
2874,lease/release,HCM,1584,,HCM 1584,"1351,  Fri next after the Feast of   . * Saint Benelbert |May 27)»","",1351-05-27,"",Document
2875,lease/release,HCM,735,,HCM 735,"1354,  Friday the Feast of the Decollation -   of Ste John the boptist (August 29).","",1354-08-29,"",Document
2876,lease/release,HCM,672,,HCM 672,"1357,  Friday the Vigil of the Nativity of St. John the Baptist (June 23).","",1357-06-23,"",Document
2877,letter,HCM,1320-em,,HCM 1320-em,fourth year of the Pontificate of John |XXTI (1519/20),fourth XXTI(1319/20,1319-01-01,1320-12-31,Document
2878,letter,HCM,3005a,,HCM 3005a,"1324,  5 Id,  may [May 11)","",1324-05-11,"",Document
2879,letter,HCM,3005b,,HCM 3005b,"1324,  5 id. May fimay 11","",1324-05-11,"",Document
2880,letter,HCM,1372,2003,RBLR 2003,1320.7.31,"1320,  2 Kal. August |July 31|.",1320-07-31,"",Document
2881,letter,,,2603-em,RBLR 2603-em,1320.7.31,"",1320-07-31,"",Document
2882,letter,HCM,1051-em,2801-em,RBLR 2801-em,1320.7.31,cf RBLR 2603-em,1320-07-31,"",Document
2883,letter,HCM,3155-em1,,HCM 3155-em1,7 May 1314,"",1314-05-07,"",Document
2884,letter,HCM,1911,,HCM 1911,|Late 13th = early 14th century.,|Late 13th = early 14th century.,1275-01-01,1325-12-31,Document
2885,letter,HCM,2818,,HCM 2818,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2886,letter,HCM,2128,,HCM 2128,"1282/3,  St. Gregory [?March 12]","",1283-03-12,"",Document
2887,letter,HCM,2130,,HCM 2130,"1283 MS, .1282,  Tuesday before Palm Sunday |April 6}","",1283-04-06,"",Document
2888,letter,HCM,1645,,HCM 1645,1297-98 26 Edward I.,"",1296-12-24,7/21/1903 0:00:00,Document
2889,letter,HCM,2798,,HCM 2798,"1298,  14 Kal. July L June 18.","",1298-06-18,"",Document
2890,letter,HCM,2853,,HCM 2853,"?14th century,  Mareh 1","exact day, approx year",1300-03-01,1399-03-01,Document
2891,letter,HCM,1442,,HCM 1442,[?1306],"",1306-01-01,1306-12-31,Document
2892,letter,HCM,1443,,HCM 1443,"[?1306],  July 8.","",1306-07-08,"",Document
2893,letter,HCM,1929,,HCM 1929,"1313, November 7","",1313-11-07,"",Document
2894,letter,HCM,1652,,HCM 1652,"1314,  October 16.","",1314-10-16,"",Document
2895,letter,HCM,1931,,HCM 1931,"1315,  12 Kal. June [May 21]","",1315-05-21,"",Document
2896,letter,HCM,2995,,HCM 2995,"[circa 1317],  15 Kal. July [June 17].","exact day, approx year",1317-07-17,"",Document
2897,letter,HCM,1366,,HCM 1366,"1317,  11 Kal. September [August 22]","",1317-08-22,"",Document
2898,letter,HCM,1367,,HCM 1367,"1317, September 17","",1317-09-17,"",Document
2899,letter,HCM,1368,,HCM 1368,"1317, November 26","",1317-11-26,"",Document
2900,letter,HCM,1369,,HCM 1369,"Probably 1318|,  June 10","",1318-06-10,"",Document
2901,letter,HCM,2799,,HCM 2799,"13187?,  Thursday,  the Feast of St.   Clement |November 23 |.","",1318-11-23,"",Document
2902,letter,HCM,1444,,HCM 1444,"1520,  14 Kal,  December |Novenber 18|","",1320-11-18,"",Document
2903,letter,HCM,3004,,HCM 3004,"oirea 1323|,  Monday next after Spiphany","",1323-01-10,"",Document
2904,letter,HCM,3005e,,HCM 3005e,"1324, July 19","",1324-07-19,"",Document
2905,letter,HCM,1335,,HCM 1335,mid 14th century,?mid 14th century,1325-01-01,1375-12-31,Document
2906,letter,HCM,1711,,HCM 1711,"1330,  12 Kal. November October 21j","",1330-10-21,"",Document
2907,letter,HCM,2686,,HCM 2686,"1333,  Thursday in the Feast of St. ,   Botuiph | June 17).","",1333-06-17,"",Document
2908,letter,HCM,1542,,HCM 1542,"13..,  eireg 1361 - cireg 1366",approx,1361-01-01,1366-12-31,Document
2909,letter,HCM,3199,,HCM 3199,"L14th century,  Feast of Crispinus and Crispinianus Ldctober 25).","exact day, approx year",1375-10-25,1400-10-25,Document
2910,letter,HCM,1415,,HCM 1415,"1282, April 6","",1282-04-06,"",Document
2911,letter,HCM,1414a-em,,HCM 1414a-em,Nones of September in the yeaR 1282,"",1282-08-28,"",Document
2912,letter,,,3005,RBLR 3005,1330.11.7,"",1330-11-07,"",Document
2913,letter,HCM,1435,,HCM 1435,"1320, November 20.","",1320-11-20,"",Document
2914,letter,HCM,1052,,HCM 1052,"1283,  Sunday the morrow of the Feast of Saint Dionisius [October 10]","",1283-10-10,"",Document
2915,letter,HCM,1656,,HCM 1656,"1288,  soventer sexs after the Feast of the ,   Netivity of the Blessed Mary | September 11]","",1288-09-11,"",Document
2916,letter,HCM,2251,,HCM 2251,"1314, September 26","",1314-09-26,"",Document
2917,letter,HCM,2260,,HCM 2260,"1315/6,  March 21","",1316-03-21,"",Document
2918,letter,HCM,1327,,HCM 1327,"1327, November 5","",1327-11-05,"",Document
2919,letter,HCM,1051,2801,RBLR 2801,1328.3.5,"1327/8,  March 5.",1328-03-05,"",Document
2920,letter,HCM,2165,3001,RBLR 3001,1330.3.20,"",1330-03-20,"",Document
2921,letter,HCM,2259,,HCM 2259,"1330, December 10","",1330-12-10,"",Document
2922,letter,HCM,2248,,HCM 2248,"1331,  October 11.","",1331-10-11,"",Document
2923,letter,HCM,1624,,HCM 1624,"1342,  April 28.","",1342-04-28,"",Document
2924,letter,HCM,2290,,HCM 2290,"1345/6,  February 1.","",1346-02-01,"",Document
2925,letter,HCM,2452,,HCM 2452,"1351, June 2","",1351-06-02,"",Document
2926,letter,HCM,1820,,HCM 1820,"1354/5,  January 29.","",1355-01-29,"",Document
2927,letter,HCM,1441,,HCM 1441,"1305,  10 Kal. September [August 23]","",1305-08-23,"",Document
2928,letter,HCM,3162-em,,HCM 3162-em,"kalends of January,  1305/06","",1306-01-01,"",Document
2929,letter,HCM,1858,,HCM 1858,"1319/20,  7 Kal. February |January 26|","",1320-01-26,"",Document
2930,letter,HCM,1822,,HCM 1822,"1323,  3 Non,  Junii |June 3|.","",1323-06-03,"",Document
2931,letter,HCM,2270,,HCM 2270,"1327,  2 Non. November | November 4","",1327-11-04,"",Document
2932,letter,HCM,3155-em2,,HCM 3155-em2,"1314, January 13","printed in HRS p. 519-20, with given at of Montiliis, Carpentoratensis diocesis",1314-01-13,"",Document
2933,letter,HCM,2837-em,,HCM 2837-em,"5 Kale Mareh,  7 Alexander IV","",1261-02-24,"",Document
2934,letter,,,4806,RBLR 4806,1348.4.28,"",1348-04-28,"",Document
2935,letter,HCM,1931-em,,HCM 1931-em,14 May 1315,"",1315-05-14,"",Document
2936,letter,,,2105,RBLR 2105,1321.2.24,"",1321-02-24,"",Document
2937,letter|receipt,,,3302,RBLR 3302,1333.8.28,"letter written by RB at Hereford to Ralph BP of B&W (1333.8.28), received 3 nones Sept per BWRS p.151 #587?",1333-08-28,"",Document
2938,letters of attorney,HCM,412,,HCM 412,"1314,  Friday next before the Feast of St. Margaret the Virgin [July 19]","",1314-07-19,"",Document
2939,letters of attorney,HCM,530,,HCM 530,"1297,  Sunday next after the Feast of Ste   John snte nortem latina (May 12).","",1297-05-11,"",Document
2940,letters of attorney,HCM,1055,,HCM 1055,"1301,  Saturday next after the Feast of Saint Laurence the martyr | August 12]","",1301-08-12,"",Document
2941,letters of attorney,HCM,422,,HCM 422,"1303,  Holy rinity dey June 2","",1303-06-02,"",Document
2942,letters of attorney,HCM,1077-em,,HCM 1077-em,Saturday next before the Feast of the Apostles Simon and Judas in the year 1309,"",1309-10-25,"",Document
2943,letters of attorney,,,2701,RBLR 2701,1327.3.24,"",1327-03-24,"",Document
2944,letters of attorney,HCM,637,,HCM 637,13335 Thursdey next after the Feast of the Nativity of the Virgin Mary | September 9],"",1333-09-09,"",Document
2945,letters of attorney,,,4405,RBLR 4405,1344.3.31,"",1344-03-31,"",Document
2946,letters of attorney,,,4504,RBLR 4504,1345.7.18<,"",1345-07-18,"",Document
2947,letters of attorney,HCM,1708,,HCM 1708,"1360,  October 16.,","",1360-10-16,"",Document
2948,letters of protection,,,2001,RBLR 2001,1320.2.28,"",1320-02-28,"",Document
2949,letters of protection,,,2502,RBLR 2502,1325.9.5,"",1325-09-05,"",Document
2950,letters of protection,,,3203,RBLR 3203,1332.4.23,"",1332-04-23,"",Document
2951,letters of protection,,,1902,RBLR 1902,1319.1.18,"",1319-01-18,"",Document
2952,letters of protection,,,2104,RBLR 2104,1321.2.22,"",1321-02-22,"",Document
2953,letters of attorney,,,3101,RBLR 3101,1331.1.16,"",1331-01-16,"",Document
2954,letters of protection,,,2501,RBLR 2501,1325.09.04-1325.09.05,"""tower of London"" in margin = enrollment of these planning docs in Foedera 604-605; earliest bit = 1325.8.21 at Sturry, Kent, our bit = given at Langdon (Langdon Abbey Kent) on 1325.09.04, day before both party's departure at Dover & doc's endorsement at Tower",1325-09-04,1325-09-05,Document
2955,letters of proxy,,,3201,RBLR 3201,1332.1.22,"",1332-01-14,"",Document
2956,letters of proxy,,,1818,RBLR 1818,1318.7.29,"",1318-07-29,"",Document
