Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 2658,HCM 2658,MANDATE,London,Documented,1302-04-03T00:00:00Z,,"1302,  April 3.",,London,Bp of London / D&C of London,"1302, April 3., MANDATE"
HCM 2659,HCM 2659,QUITTANCE,Hereford,Documented,1302-10-28T00:00:00Z,,"1302,  in the Feast of Simon and Judas : the Apostles LOct. 28)",,Hereford,,"1302, in the Feast of Simon and Judas : the Apostles LOct. 28), QUITTANCE"
HCM 2660,HCM 2660,RECEIPT,Hereford,Documented,1302-01-01T00:00:00Z,1303-12-31T00:00:00Z,1303.,,Hereford,,"1303., RECEIPT"
HCM 2661,HCM 2661,RECEIPT,(Hereford),Suggested,1304-01-31T00:00:00Z,,"1303/4,  ae next before the Feast of ,   the Purification of the Blessed Virgin [January 31)",,,receipt FROM Hereford D&C to Llanthony Prima (usually given at = from or 1 line),"1303/4, ae next before the Feast of ,  the Purification of the Blessed Virgin [January 31), RECEIPT"
HCM 2662,HCM 2662,QUITTANCE,Hereford,Documented,1304-07-25T00:00:00Z,,"1304,  the Feast of St. James the ,   Apostle fouiy 25/6",,Hereford,July 25,"1304, the Feast of St. James the ,  Apostle fouiy 25/6, QUITTANCE"
HCM 2663,HCM 2663,RECEIPT,(Hereford),Suggested,1305-09-29T00:00:00Z,,"[1305],  circa September 29",approx,,clerk (of D&C of H?) to D&C of H,"[1305], circa September 29, RECEIPT"
HCM 2664,HCM 2664,QUITTANCE,Hereford,Documented,1305-03-31T00:00:00Z,,"1305,  2 Kal. April [March 31]",,Hereford,,"1305, 2 Kal. April [March 31], QUITTANCE"
HCM 2665,HCM 2665,RECEIPT,(Hereford),Suggested,1305-09-28T00:00:00Z,,"1305,  in the Vigil of the Feast of St. Michael [Sept. 28]",,,clerk of D&C to receiver of D&C,"1305, in the Vigil of the Feast of St. Michael [Sept. 28], RECEIPT"
HCM 2666,HCM 2666,QUITTANCE,Hereford,Documented,1305-10-09T00:00:00Z,,"1305,  in the Feast of St. Dionysius [Oct. 9].",,Hereford,,"1305, in the Feast of St. Dionysius [Oct. 9]., QUITTANCE"
HCM 2667,HCM 2667,RECEIPT,London,Documented,1305-10-23T00:00:00Z,,"1305,  Saturday next after the Feast of St. Luke the Evangelist [Oct. 23].",,London,(at Fish St Inn of Bp of H?),"1305, Saturday next after the Feast of St. Luke the Evangelist [Oct. 23]., RECEIPT"
HCM 2668,HCM 2668,QUITTANCE,Hereford,Documented,1306-04-01T00:00:00Z,1306-04-30T00:00:00Z,"1306,  April",approx,Hereford,only month given,"1306, April, QUITTANCE"
HCM 2669,HCM 2669,QUITTANCE,Hereford,Documented,1306-05-15T00:00:00Z,,"1306,  Sunday next before the Feast of St. Ethelbert,  king and martyr [May 15]",,Hereford,,"1306, Sunday next before the Feast of St. Ethelbert, king and martyr [May 15], QUITTANCE"
HCM 2670,HCM 2670,QUITTANCE,Hereford,Documented,1306-10-15T00:00:00Z,,"1306,  Saturday,  the day after the Feast of St. Kalixtus [October 15]",,Hereford,,"1306, Saturday, the day after the Feast of St. Kalixtus [October 15], QUITTANCE"
HCM 2671,HCM 2671,QUITTANCE,Hereford,Documented,1307-10-01T00:00:00Z,1307-10-31T00:00:00Z,"1307,  October.",approx,Hereford,only month given,"1307, October., QUITTANCE"
HCM 2672,HCM 2672,RECEIPT,Hereford,Documented,1307-10-02T00:00:00Z,,"1307,  Oct. 2",,Hereford,,"1307, Oct. 2, RECEIPT"
HCM 2673,HCM 2673,QUITTANCE,London,Documented,1308-07-12T00:00:00Z,,"1308,  July 12",,London,,"1308, July 12, QUITTANCE"
HCM 2674,HCM 2674,MANDATE,Westminster,Documented,1310-11-12T00:00:00Z,,"?1310,  November 12",,Westminster,approx date,"?1310, November 12, MANDATE"
HCM 2675,HCM 2675,QUITTANCE,Hereford,Documented,1311-07-21T00:00:00Z,,"1311,  in the Feast of St. Praxedes,  Virgin [July 21].",,Hereford,,"1311, in the Feast of St. Praxedes, Virgin [July 21]., QUITTANCE"
HCM 2676,HCM 2676,RECEIPT,chapter-house at Hereford,Documented,1316-02-18T00:00:00Z,,"1315/6,  Wednesday next after the Feast of St. Valentine [February 18]",,chapter-house at Hereford,,"1315/6, Wednesday next after the Feast of St. Valentine [February 18], RECEIPT"
HCM 2678,HCM 2678,RECEIPT,Hereford,Documented,1318-05-06T00:00:00Z,,"1318,  Monday next after the Feast of St,  ,   John gente porten Latinam [itay 6].",,Hereford,"May 8, RECEIPT","1318, Monday next after the Feast of St, ,  John gente porten Latinam [itay 6]., RECEIP? f"
HCM 2679,HCM 2679,MANDATE,Westminster,Documented,1318-05-08T00:00:00Z,,"1318,  May 8",,Westminster,,"1318, May 8, MANDATE"
HCM 2680,HCM 2680,RECEIPT,Hereford,Documented,1318-07-16T00:00:00Z,,"1318,  1m the Vigil of St. Kenelm,  king ,    and martyr {duly 16].",,Hereford,,"1318, 1m the Vigil of St. Kenelm, king ,   and martyr {duly 16]., RECEIPT"
HCM 2681,HCM 2681,RECEIPT,Hereford,Documented,1318-12-01T00:00:00Z,,"1318,  Friday next after the Feast ,   St. Andrew the Apostle thecsaber i”",,Hereford,December 1,"1318, Friday next after the Feast ,  St. Andrew the Apostle thecsaber i”, RECEIPT"
HCM 2682,HCM 2682,RECEIPT,Hereford,Documented,1322-10-14T00:00:00Z,,"1322,  2 Id. Oct. |October 14.",,Hereford,,"1322, 2 Id. Oct. |October 14., RECEIPT"
HCM 2683,HCM 2683,RECEIPT,Hereford,Documented,1323-03-05T00:00:00Z,,"1322/3,  Saturday next after the Feast of",,Hereford,March 5,"1322/3, Saturday next after the Feast of, RECEIPT"
HCM 2684,HCM 2684,RECEIPT,Hereford,Documented,1331-06-24T00:00:00Z,,"1331,  June 24.",,Hereford,,"1331, June 24., RECEIPT"
HCM 2685,HCM 2685,QUITTANCE,Hereford,Documented,1331-10-06T00:00:00Z,,"1331,  Sunday next before the Feast of St. Dionysius | October 6",,Hereford,,"1331, Sunday next before the Feast of St. Dionysius | October 6, QUITTANCE"
HCM 2686,HCM 2686,LETTER,Stanton Long Shropshire,Documented,1333-06-17T00:00:00Z,,"1333,  Thursday in the Feast of St. ,   Botuiph | June 17).",,Stanton,"nr Diddlebury Shropshire, so NOT Staunton on Wye","1333, Thursday in the Feast of St. ,  Botuiph | June 17)., LETTER"
HCM 2687,HCM 2687,RECEIPT,Hereford,Documented,1333-11-10T00:00:00Z,,"1333,  November 10",,Hereford,,"1333, November 10,, RECEIPT"
HCM 2688,HCM 2688,RECEIPT,Hereford,Documented,1338-10-01T00:00:00Z,,"1338,  October 1",,Hereford,,"1338, October 1,, RECEIPT"
HCM 2688.A,HCM 2688.A,STATEMENT,(Salisbury),Suggested,1339-01-01T00:00:00Z,unknown,post 1338,approx,,"doc concern archd of Wiltshire, diocese of Salisbury","post 1338, SPATEMENT"
HCM 2689,HCM 2689,RECEIPT,Wigmore Abbey,Documented,1341-06-23T00:00:00Z,,"1341,  June 23.",,‘yggemor'.,prob issued at Abbey,"1341, June 23., RECEIPT"
HCM 2690,HCM 2690,INSPEXIMUS and CONFIRMATION,chapter-house at Hereford,Documented,1349-06-08T00:00:00Z,,"1349,  June 8.",,chapter-house at Hereford,"inspeximus date, subdivide?","1349, June 8., INSPEXIMUS"
HCM 2690-em,HCM 2690-em,RELEASE,Hereford,Documented,1349-06-07T00:00:00Z,,"June 7,  1349",,Hereford,"(embedded doc), RELEASE","June 7, 1349,, release"
HCM 2691,HCM 2691,RECEIPT,Hereford,Documented,1352-12-09T00:00:00Z,,"1352,  5 Id,  December December 9|",,Hereford,,"1352, 5 Id, December December 9|, RECEIPT"
HCM 2699,HCM 2699,RECEIPT,Hereford,Documented,1347-11-10T00:00:00Z,,"1347 21 ?Edward III,  November 10.",,Hereford,,"1347 21 ?Edward III, November 10., RECEIPT"
HCM 27,HCM 27,DUPLICATE,Breinton,Documented,1316-02-21T00:00:00Z,,"1315/6,  Saturday next before the Feast of St. Peter in Cathedra. [February 21].",,Breynton,duplicate of HCM 26,"1315/6, Saturday next before the Feast of St. Peter in Cathedra. [February 21]., DUPLICATE"
HCM 2700,HCM 2700,RECEIPT,Hereford,Documented,1293-06-15T00:00:00Z,,"1293,  17 Kalends July June 15.",,Hereford,,"1293, 17 Kalends July June 15., RECEIPT"
HCM 2701,HCM 2701,QUITTANCE,Hereford,Documented,1297-07-22T00:00:00Z,,"1297,  Thursday,  the day efter the Feast of the Sevén Brothers Mortyrs (July 22]",,Hereford,,"1297, Thursday, the day efter the Feast of the Sevén Brothers Mortyrs (July 22], QUITTANCE"
HCM 2702,HCM 2702,QUITTANCE,Hereford,Documented,1297-09-06T00:00:00Z,,"1297,  Friday next before the Feast of the Nativity of the Blessed ,  Virgin] Mary LSept. 6]",,Hereford,,"1297, Friday next before the Feast of the Nativity of the Blessed , Virgin] Mary LSept. 6], QUITTANCE"
HCM 2703,HCM 2703,QUITTANCE,Hereford,Documented,1299-04-26T00:00:00Z,,"1299,  Sunday,  the day after the Feast of Ste Mark the Evangelist | April 26].",,Hereford,,"1299, Sunday, the day after the Feast of Ste Mark the Evangelist | April 26]., QUITTANCE"
HCM 2704,HCM 2704,QUITTANCE,Hereford,Documented,1301-02-12T00:00:00Z,,"1300/1,  the day before the Ides of February | Feb. 12].",,Hereford,,"1300/1, the day before the Ides of February | Feb. 12]., QUITTANCE"
HCM 2705,HCM 2705,QUITTANCE,Hereford Cathedral,Documented,1302-05-06T00:00:00Z,,"1302,  Sunday next after the Feast of the Invention of the Holy Cross | May 6]",,greater church of Hereford,,"1302, Sunday next after the Feast of the Invention of the Holy Cross | May 6], QUITTANCE"
HCM 2706,HCM 2706,QUITTANCE,Hereford,Documented,1302-10-10T00:00:00Z,,1902 the day after the Feast of St. .   D nysius LOecte 10j,,Hereford,"1302, Oct 10","1902 the day after the Feast of St. .   D nysius LOecte 10j, QUITTANCE"
HCM 2707,HCM 2707,QUITTANCE,Hereford,Documented,1303-04-27T00:00:00Z,,"1503,  Saturday next before the Feast of Philip and James the Apostles |April 27].",,Hereford,1303,"1503, Saturday next before the Feast of Philip and James the Apostles |April 27]., QUITTANCE"
HCM 2708,HCM 2708,QUITTANCE,London,Documented,1303-07-10T00:00:00Z,,"1303,  July 10",,London,,"1303, July 10,, QUITTANCE"
HCM 2709,HCM 2709,QUITTANCE,Hereford,Documented,1303-10-20T00:00:00Z,,"1303,  Sunday,  the day after the |  Yeast of St. Preteseida (Oct,  20",,Hereford,,"1303, Sunday, the day after the |  Yeast of St. Preteseida (Oct, 20, QUITLANCE"
HCM 271,HCM 271,GRANT in fee-farm,(Hope Bagot Shropshire),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,mill at & lord of Hopebagard,"Late 13th. century, GRANT in fee-farm,"
HCM 2710,HCM 2710,RETURN,Abenhall Gloucestershire,Documented,1304-03-27T00:00:00Z,,"1304,  Fridey next before Esster March 27.",,Thestate,,"1304, Fridey next before Esster March 27., RETURN"
HCM 2710-em,HCM 2710-em,MANDATE,chapter-house at Hereford,Documented,1303-03-30T00:00:00Z,,"Saturday next before Pein Sunday fi, e,  March 50],  1303",,chapter,"(embedded doc), (embedded doc)","mandate, Saturday next before Pein Sunday fi,e, March 50], 1303"
HCM 2711,HCM 2711,QUITTANCE,Hereford,Documented,1304-10-03T00:00:00Z,,"13: Satur after the Feast ,   . of st,  itichael. foot. 3].",,Hereford,"1304, October 3, QUITTANCE","13: Satur after the Feast ,  . of st, itichael. foot. 3]., CUITTANCE"
HCM 2712,HCM 2712,QUITTANCE,Hereford,Documented,1305-10-06T00:00:00Z,,1305 the Feast of St. Faith the Virgin [Oct. 6].,,Hereford,,"1305 the Feast of St. Faith the Virgin [Oct. 6]., QUITTANCE"
HCM 2713,HCM 2713,QUITTANCE,Hereford,Documented,1306-03-29T00:00:00Z,,"1306,  Tuesday next after the Feats of the Annunciation [March 29]",,Hereford,,"1306, Tuesday next after the Feats of the Annunciation [March 29], QUITTANCE"
HCM 2714,HCM 2714,QUITTANCE,London,Documented,1306-04-28T00:00:00Z,,"1306,  Thursday next after the Feast of St. Mark [April 28].",,London,,"1306, Thursday next after the Feast of St. Mark [April 28]., QUITTANCE"
HCM 2715,HCM 2715,RECEIPT,Hereford,Documented,1306-10-01T00:00:00Z,,"1306,  October 1.",,Hereford,,"1306, October 1., RECEIPT"
HCM 2716,HCM 2716,RECEIPT,(Hereford),Suggested,1306-01-01T00:00:00Z,1306-12-31T00:00:00Z,1306,,,cf other Thomas Orleton / D&C docs,"1306, RECEIPT"
HCM 2717,HCM 2717,QUITTANCE,London St Paul's,Documented,1307-01-16T00:00:00Z,,"1306/7,  January 16",,St. Paul's London,,"1306/7, January 16, QUITTANCE"
HCM 2718,HCM 2718,QUITTANCE,Hereford,Documented,1307-04-01T00:00:00Z,1307-04-30T00:00:00Z,"1307,  April.",,Hereford,only month given,"1307, April., QUITTANCE"
HCM 2719,HCM 2719,QUITTANCE,Hereford,Documented,1307-10-01T00:00:00Z,1307-10-31T00:00:00Z,"1307,  October.",,Hereford,only month given,"1307, October., QUITTANCE"
HCM 2720,HCM 2720,BOND,Hereford,Documented,1307-12-23T00:00:00Z,,"1307,  Saturday next before the Feast of St. Thomas the Martyr [Dec. 23].",,Hereford,,"1307, Saturday next before the Feast of St. Thomas the Martyr [Dec. 23]., BOND"
HCM 2721,HCM 2721,QUITTANCE,London,Documented,1309-12-03T00:00:00Z,,"1309,  December 3",,London,prob issued at London St Pauls like HCM 2717,"1309, December 3, QUITTANCE"
HCM 2722,HCM 2722,QUITTANCE,London,Documented,1311-02-03T00:00:00Z,,"1310/11,  February 3.",,London,prob issued at London St Pauls like HCM 2717,"1310/11, February 3., QUITTANCE"
HCM 2723,HCM 2723,QUITTANCE,London,Documented,1315-10-14T00:00:00Z,,"1315,  October 14",,London,prob issued at London St Pauls like HCM 2717,"1315, October 14, QUITTANCE"
HCM 2725,HCM 2725,QUITTANCE,Hereford,Documented,1318-08-14T00:00:00Z,,"1318,  Monday,  the Vigil of the Feast of the  Assuaption of the Blessed Virgin Mary {August 14|.",,Hereford,,"1318, Monday, the Vigil of the Feast of the  Assuaption of the Blessed Virgin Mary {August 14|., QUITTANCE"
HCM 2726,HCM 2726,QUITTANCE,Hereford Castle,Documented,1321-04-16T00:00:00Z,,"1321,  Thursday next before the Feast .   of Easter | April 16]",,castle of Hereford,,"1321, Thursday next before the Feast .   of Easter | April 16], QUITTANCE"
HCM 2727,HCM 2727,QUITTANCE,Hereford Castle,Documented,1321-11-29T00:00:00Z,,"1321,  Sunday,  the vigi2 of St. Andrew the .   Apostle LNovember 29].",,castle of Hereford,,"1321, Sunday, the vigi2 of St. Andrew the .   Apostle LNovember 29]., QUITTANCE"
HCM 2728,HCM 2728,QUITTANCE,Leominster,Documented,1325-11-12T00:00:00Z,,"1325,  Saturday the day after the Feast / of St,  Martin the bishop \November 12)",,Leominster,,"1325, Saturday the day after the Feast / of St, Martin the bishop \November 12), QUITTANCE"
HCM 2729,HCM 2729,RECEIPT,Hereford,Documented,1330-09-25T00:00:00Z,,"1330,  September 25.",,Hereford,,"1330, September 25., RECEIPT"
HCM 2730,HCM 2730,QUITTANCE,Hereford,Documented,1330-11-10T00:00:00Z,,"1330,  November 10",,Hereford,,"1330, November 10,, QUITTANCE"
HCM 2731,HCM 2731,QUITTANCE,Hereford,Documented,1334-05-21T00:00:00Z,,"1334,  Saturday next after the Feast of St. Ethelbert,  king and martyr |May 21]",,Hereford,,"1334, Saturday next after the Feast of St. Ethelbert, king and martyr |May 21], QUITTANCE f"
HCM 2732,HCM 2732,QUITTANCE,Hereford,Documented,1336-02-02T00:00:00Z,,"1335/6,  February 2.",,Hereford,,"1335/6, February 2., QUITTANCE"
HCM 2734,HCM 2734,RECEIPT,Hereford,Documented,1353-12-07T00:00:00Z,,"1353,  the Sctaves of St. Andrew the Apostle [December 7].",,Hereford,,"1353, the Sctaves of St. Andrew the Apostle [December 7]., RECEIPT"
HCM 2735,HCM 2735,CONFIRMATION,(Hereford),Suggested,1355-06-16T00:00:00Z,,"1355,  June 16",,,conf by Dean of H,"1355, June 16, CONFIRMATION"
HCM 2741,HCM 2741,RECEIPT,Hereford,Documented,1361-01-21T00:00:00Z,,"1360/1 34 Edward |111j,  12 Kelends .   February (Jenuary 21).",,Hereford,,"1360/1 34 Edward |111j, 12 Kelends .   February (Jenuary 21)., RECEIPT"
HCM 2742,HCM 2742,QUITTANCE,(Hereford),Suggested,1317-03-15T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century (after 1317.3.15),early 14th century|AFTER death of RS on 1317.3.15,,"after 1317, if that's a reference to Richard as LATE bishop of H","Barly 14th century., QUITTANCE"
HCM 2743,HCM 2743,QUITTANGE,Hereford,Documented,1295-03-14T00:00:00Z,,"1294/5,  March 14",,Hereford,QUITTANCE,"1294/5, March 14,, QUITTANGE"
HCM 2744,HCM 2744,QUITTANCE,Hereford,Documented,1296-11-24T00:00:00Z,,"1296,  the day after the Feast of St. Clement |Nov. 24)",,tereford,,"1296, the day after the Feast of St. Clement |Nov. 24), QUITTANCE"
HCM 2745,HCM 2745,QUITTANCE,Hereford residence of Richard the Young,Documented,1299-10-11T00:00:00Z,,"1299,  Sunday next after the Feast of St Sionysius LOct. 11].",,Hereford in the house of sgainus Richard the young,,"1299, Sunday next after the Feast of St Sionysius LOct. 11]., QUITTANCE"
HCM 2746,HCM 2746,QUITTANCE,Hereford,Documented,1302-09-30T00:00:00Z,,"1302,  Saturday,  the Feast of St. Jerome Sept. 30",,Hereford,,"1302, Saturday, the Feast of St. Jerome Sept. 30, QUITTANCE"
HCM 2747,HCM 2747,QUITTANCE,Hereford,Documented,1301-10-03T00:00:00Z,,"1301,  the day after the Feast of St. Leodegar LOcte 3].",,Hereford,,"1301, the day after the Feast of St. Leodegar LOcte 3]., QUITTANCE"
HCM 2748,HCM 2748,QUITTANCE,Hereford,Documented,1306-10-15T00:00:00Z,,"1306,  Saturday,  the day after the Feast of St. Kalixtus [October 15]",,Hereford,,"1306, Saturday, the day after the Feast of St. Kalixtus [October 15]., QUITTANCE"
HCM 2749,HCM 2749,QUITTANCE,Hereford,Documented,1307-10-31T00:00:00Z,,1307-10-01T00:00:00Z,,Hereford,,QUITTANCE
HCM 275,HCM 275,GRANT in fee-farm,chapter-house at Hereford,Documented,1350-09-27T00:00:00Z,,"1350,  Monday next before the Feast   of St,  iichael the Archengel (September 27]",,the c es at Hereford,,"1350, Monday next before the Feast   of St, iichael the Archengel (September 27], GRANT in fee-farm"
HCM 2750,HCM 2750,QUITTANCE,(Hereford),Suggested,1307-11-03T00:00:00Z,,"1307,  Friday next after All Souls’ Day [Nov. 3]",,Hereford,organ-keeper to D&C,"1307, Friday next after All Souls’ Day [Nov. 3], QUITTANCE"
HCM 2751,HCM 2751,GENERAL RELEASE,Hereford,Documented,1311-10-03T00:00:00Z,,"1311,  5 Non. Oct. [Oct. 3]",,Hereford,,"1311, 5 Non. Oct. [Oct. 3], GENERAL RELEASE"
HCM 2733,HCM 2733,RECEIPT,Hereford,Documented,1338-03-24T18:09:24Z,,"1338, circa March 25",approx,Hereford,Double OCR problem: correct doc # = HCM 2733 (NOT 2753); and correct date = 1338 (NOT 1358),"1338,circa March 25,, RECEIPT"
HCM 2779,HCM 2779,BOND,Hereford,Documented,1309-07-26T00:00:00Z,,"1309,  Saturday next before the Feast of St. Peter's Ad Vinculs [July 26].",,Hereford,,"1309, Saturday next before the Feast of St. Peter's Ad Vinculs [July 26]., BOND"
HCM 2780,HCM 2780,ROYAL MANDATE,Westminster,Documented,1361-07-12T00:00:00Z,,"1361,  July 12.",,Westminster,ROYAL MANDATE,"1361, July 12., ROYAL WANDATE"
HCM 279,HCM 279,GRANT in fee-farm,(Research),Uncertain,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century,approx,,"check names, other docs","Early 14th century, GRANT in fee-farm"
HCM 2797,HCM 2797,TRANSCRIPTS OF LETTERS OF PROXY,Orvieto Italy,Documented,1282-11-27T00:00:00Z,,"1282,  5 Kal. December November 27",,Orvieto,"date of transcripts, (doc = transcripts of Letters of Proxy)","1282, 5 Kal. December November 27,, TRANSCRIPTS, letters of  proxy"
HCM 2797-em1,HCM 2797-em1,APPOINTENT,chapter-house at Hereford,Documented,1281-08-14T00:00:00Z,,"August 14, 1281",,chapter-house of Hereford,"(embedded doc 1), (embedded doc 1)","APPOINTMENT, August 14, 1281"
HCM 2797-em2,HCM 2797-em2,APPOINTENT,Hereford,Documented,1284-12-07T00:00:00Z,,December 7 <a,,Hereford,"(embedded doc 2), (embedded doc 2)|1284, Dec 7","APPOINTENT, December 7 <a"
HCM 2797-em3,HCM 2797-em3,MEMORANDUM,Lyon Auvergne-Rhône-Alpes France,Documented,1275-01-31T00:00:00Z,,January,,ons,"(embedded doc 3), January 31, 1275|(embedded doc 3)","MEMORANDUM, January"
HCM 2798,HCM 2798,LETTER,Hereford,Documented,1298-06-18T00:00:00Z,,"1298,  14 Kal. July L June 18.",,Hereford,,"1298, 14 Kal. July L June 18., LETTER"
HCM 2799,HCM 2799,LETTER,London,Documented,1318-11-23T00:00:00Z,,"13187?,  Thursday,  the Feast of St.   Clement |November 23 |.",,London,,"13187?, Thursday, the Feast of St.   Clement |November 23 |., LETTER"
HCM 28,"RBLR 0802, HCM 28",GRANT,Hereford,Documented,1308-10-21T00:00:00Z,,"1308,  Monday next after the Feast of St. Luke the Evangelist [October 21].",,Hereford,ALSO in RBLR,"1308, Monday next after the Feast of St. Luke the Evangelist [October 21]., GRANT"
HCM 280,HCM 280,GRANT,(Huntington by Holmer Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,cirea 1300.,approx,,land at & lord of Huntington,"cirea 1300., GRANT,"
HCM 2817,HCM 2817,MEMORANDUM,Bosbury Herefordshire church Holy Trinity,Documented,1286-08-06T00:00:00Z,,"1286,  Tuesday next after F,   of St,  Peter af Vinowls. hug.",,parish church of Bosebur',Aug 6,"1286, Tuesday next after F,  of St, Peter af Vinowls. hug., MEMORANDUM"
HCM 2818,HCM 2818,LETTER,(Lyre Abbey Normandy),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,monastery of Lyre,letter from abbot of Lyre,"Late 13th. century, LETTER"
HCM 2819,HCM 2819,NOTARIAL INSTRUMENT,(Research),Unknown,1353-01-19T00:00:00Z,,"1352/3,  January 19",,,where is Bp of H on 1353.1.19 (N.I. = features official of Bp of H & episcopal clerks?); John de la More = Hereford based,"1352/3, January 19,, NOTARIAL INSTRUMENT"
HCM 2819-em1,HCM 2819-em1,LETTER OF PROXY,(Gloucester St Peter's),Suggested,1352-11-14T00:00:00Z,,"1352,  Wednesday next after the Feast of St. Martin,   Bishop and Confessor |i.e,  Nov. 14)",,St,(embedded doc 1)|letter of proxy appt by Gloucester St Peters,"1352, Wednesday next after the Feast of St. Martin,  Bishop and Confessor |i.e, Nov. 14), Letter of proxy"
HCM 2819-em2,HCM 2819-em2,LETTER OF PROXY,(Lyre Abbey Normandy),Suggested,1349-05-10T00:00:00Z,,"1349,  any 10",,monastery of St. Mary of lyre in the diocese of  Evreux,"(embedded doc 2)|May 10, 1349|proxy appt by Abbot of Lyre","1349, any 10, Letter of per"
HCM 2819-em3,HCM 2819-em3,SETTLEMENT,(Research),Unknown,1353-01-15T00:00:00Z,,"1352/3,  January 15",,,"(embedded doc 3)|whatever the Given At is for N.I., same Given At for embedded doc 3 (Hereford, or wherever Bp is on 1353.1.15-19?)","1352/3, January 15, Tenor of the settlement"
HCM 2837,HCM 2837,INSPEXIMUS,Orvieto,Documented,1282-09-01T00:00:00Z,,"1282,  Kal. Sept. Sept. 1.",,Orvieto,date of inspex,"1282, Kal. Sept. Sept. 1., INSPEXIMUS"
HCM 2837-em,HCM 2837-em,PAPAL LETTERS,Rome Lateran Palace,Documented,1261-02-24T00:00:00Z,,"5 Kale Mareh,  7 Alexander IV",,the Lateran,Someone double check this date,"papal letters, 5 Kale Mareh, 7 Alexander IV"
HCM 2838,HCM 2838,MONITION and MANDATE,Avignon,Documented,1343-01-09T00:00:00Z,,"1342/3,  January 9., 7 Id. Nov.,  1 Clement VI",,Avignon,PAPAL LETTERS (embedded doc) needs ADDING|date of embedded Papal Letters = 7 Ides Nov of 1 Clement VI (=???),"1342/3, January 9., MONITION and MANDATE, eel letters, 7 Id. Nov., 1 Clement VI"
HCM 2839,HCM 2839,MANDATE,London,Documented,1355-11-05T00:00:00Z,,"1355,  November 5.",,London,,"1355, November 5., MANDATE"
HCM 2850,HCM 2850,JURY PRESENTMENT,Holme Lacy Herefordshire,Documented,1298-01-30T00:00:00Z,"
","Ledrea 1297 - 1298., Thursday next before the Feast of the Purification of the Blessed Mary,  26 Edward iI).",,Hamme Lacy,"two documents here?, separate doc?","Ledrea 1297 - 1298., PRESENTMENT, On the dorse:, Estreat, Thursday next before the Feast of the Purification of the Blessed Mary, 26 Edward iI)."
HCM 2851,HCM 2851,GRANT,Hereford,Documented,1321-09-29T00:00:00Z,,"1321,  3 Kale October | September 29.",,Hereford,,"1321, 3 Kale October | September 29., GRANT"
HCM 2852,HCM 2852,PRECEPT,Gloucester,Documented,1332-12-20T00:00:00Z,,"1332,  December 20",,Gloucester.,,"1332, December 20,, PRECEPT"
HCM 2853,HCM 2853,LETTER,(Research),Unknown,1300-03-01T00:00:00Z,1399-03-01T00:00:00Z,"?14th century,  Mareh 1","exact day, approx year",,Letter from the Privy Seal--from where (Westminster? Tower?) do these issue?,"?14th century, Mareh 1, LETTER,"
HCM 2854,HCM 2854,MEMORANDUM,(Research),Unknown,1357-07-25T00:00:00Z,1357-12-31T00:00:00Z,1357 the Feast of St. James the ‘poctie toaly 25),approx,,"1357, post July 25|check other docs involving Clanvowe, Aston, Oldcastle (royal coroners for Herefords., cf next doc)","1357 the Feast of St. James the ‘poctie toaly 25), MEMORANDUM"
HCM 2855,HCM 2855,PRECEPT,(Research),Unknown,1358-02-08T00:00:00Z,,"1357/B,  February &",,,"1357/8, Feb 8|from Ed III--where is he?","1357/B, February &, PRECEPT"
HCM 2856,HCM 2856,WRIT,(Research),Unknown,1358-02-12T00:00:00Z,,"1357/8,  February 12",,,from Ed III--where is he?,"1357/8, February 12,, WRIT"
HCM 286,HCM 286,GRANT,Hatfield Herefordshire,Documented,1343-08-31T00:00:00Z,,"1343,  Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31)",,Hatfeld' Parva,"nr Hampton wafre (ps NOT Hatfield Yorkshire, NOT Hatfield Hertfordshire)","1343, Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31), GRANT"
HCM 2869,HCM 2869,QUITTANCE,Hereford,Documented,1301-10-03T00:00:00Z,,"1301,  Tuesday,  the day after the Feast of St. Leodegar (Oct. 3].",,Hereford,,"1301, Tuesday, the day after the Feast of St. Leodegar (Oct. 3]., QUITTANCE"
HCM 287,HCM 287,GRANT,Ledbury,Documented,1316-03-20T00:00:00Z,,"1315/6,  Saturday next before the Feast of St. Mary in Marcio [March 20]",,Ledbury,,"1315/6, Saturday next before the Feast of St. Mary in Marcio [March 20], GRANT"
HCM 2870,HCM 2870,QUITTANCE,Hereford,Documented,1306-12-20T00:00:00Z,,"1306,  Tuesday next after the Feast of St. Lucia the Virgin [Dec. 20]",,Hereford,,"1306, Tuesday next after the Feast of St. Lucia the Virgin [Dec. 20], QUITTANCE"
