Document Number,Normalized text,QUOTE_TRANSCRIPTION,Alternate Numbering,UUID,Person ID,Supplemental naming,COMMENTS,TAGS,Unhandled Tags 2,Clerical?,Patronymic?,Named by,Scribe,Principal,Witness,Dead,Gender
HCM 2654,John de Bromfeld,"John de Bromfeld', clerk;",,442a628b-7f37-4548-8c38-d8bf32586329,29a76b39-50d2-413e-be92-96f83a736e36,clerk,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2654,Philip de Stottesdon,"Philip, chaplain",,c1bd0574-ed37-404e-ad98-f03bfae75c9f,9049d8b0-1633-47ef-8f9b-fdfa1fce2a92,chaplain,,Agent|Clerical,Agent,True,,,,,,,M
HCM 2654,dean and chapter of Hereford,Dean and chapter of Hereford,,e3bd0682-7813-4cd2-aec4-9a0524db3697,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2655,William the Young de Fostone,"Wiliiem called the Young, chaplain, receiver of the dean and chapter of Hereford.",,cd9b1195-1c88-42c4-9c16-98894416c42c,0934414c-edea-4554-bf76-dc141f3d2e5c,"chaplain, receiver of the dean and chapter of Hereford.",,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2655,Roger de Seuenak magister,the treasurer,,b08bb90e-79d8-457a-8eb5-aca2f2fac714,3019bd14-950a-42e8-acd4-f77153a37e57,treasurer of Hereford,1294.9.21-1300.1.15,Clerical|Principal|Office,,True,,Office,,Principal,,,M
HCM 2655,William Valet,"Walter valeth, chaplain, subtreasurer of the church of Hereford",,2e96b68a-f1fd-4f34-b208-e0daf11b89e4,6c1b8ad5-6c9c-4c18-8200-be3c049fc59b,"chaplain, subtreasurer of Hereford","mistake for William Valeth, eslewhere chaplain & subtreasurer x 9 nearby docs",Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2655,dean and chapter of Hereford,dean and chapter of Hereford.,,03ba5170-41ad-41e5-a78d-720b919f954a,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Collective|office,,,,Collective,,,,,M
HCM 2656,William the Young de Fostone,"William the  Young, chaplain.",,6cfc0f7c-b610-44be-9713-8f8d11d43860,0934414c-edea-4554-bf76-dc141f3d2e5c,chaplain,agent of D&C of H,Agent|Clerical,Agent,True,,,,,,,M
HCM 2656,John de la Felde,John de la Felde,,95b0dec4-266f-4aea-b401-aec52e5e889a,8c0a8469-c649-4985-947b-e6bc21844f83,,,Principal,,,,,,Principal,,,M
HCM 2656,dean and chapter of Hereford,Dean and chapter of Hereford,,540e10d2-2270-4b1e-8e8d-4dddd7d85755,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2657,William the Young de Fostone,"william called the Young, chaplain",,7a897ce1-3124-4411-b68f-153b5b3f6177,0934414c-edea-4554-bf76-dc141f3d2e5c,chaplain,agent of chapter of H,Agent|Clerical,Agent,True,,,,,,,M
HCM 2657,dean and chapter of Hereford,Chapter of Hereford,,b4fd84d4-5802-4d10-9e4f-4939d93930d3,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2657,John de Aqua Blanca,"John de aque blanca, dean of Hereford;",,7e3fd3c2-08d6-4571-9bd9-f50e1185192e,e4da2937-dc23-4b2e-b432-4316fb4b3171,dean of Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2658,Richard Gravesend,Rey bishop of London,,afc44653-e229-4036-9240-a941a3d8910f,0de32812-cca3-49fe-98d2-f18cf41d9d86,,"collector with Barth de Ferentin, canon of London|Richard Gravesend, Bp of London 1280-1303",Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2658,John de Gamages,abbot and convent of Gloucester,,861c5f2d-bd89-45bc-af13-ede49703cdf0,3668f4a7-d489-48df-a974-ab6ff64e1f3f,abbot and convent of St Peter's Gloucester|subcollectors,subcollectors of the tenth|John de Gamages,Principal|Clerical|Collective|Agent,Agent,True,,Office,,Principal,,,M
HCM 2658,Pope Boniface VIII,Pope Boniface VIII f,,40d130f9-004a-4690-a205-49ca949398f9,5b696a1f-719e-48f9-b9b4-f6cc59eb6bc4,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2658,hospital of St Wolstan's Worcester,the religious of the Hospitel of St. wWojlstan of worcester,,a2520d58-bada-4d0c-87f2-ee73bfed6f56,a2520d58-bada-4d0c-87f2-ee73bfed6f56,,St Wolstan,Clerical|Collective|Principal,,True,,Collective,,Principal,,,M
HCM 2658,abbot and convent of St Peter's Gloucester,,,,aabade39-f8ba-481c-a646-3dda1233051f,,,,,,,Collective,,Principal,,,
HCM 2658,Bartholomew de Ferentin,"Bartholomew de Ferentin', canon of London, collectors",,b6600534-cb2f-43ea-8995-b1c9e18b2e82,ffa106a5-861d-4d0f-8305-1c68ad73658e,"canon of London, collectors","with R., Bishop of London",Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2659,William the Young de Fostone,"William called the Young, their receiver.",,23b99475-7c1d-4d27-922e-2674e369cbfa,0934414c-edea-4554-bf76-dc141f3d2e5c,their receiver,,Agent|Clerical,Agent,True,,,,,,,M
HCM 2659,dean and chapter of Hereford,Dean and chapter of Hereford,,6d49be7a-d066-44a3-88a7-c45bf7d7b2e8,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2659,John le Secular,John le Seculers;,,ebe36316-4a3c-4a35-b595-9eccbaa2429e,ce6340fa-71ec-4d40-baa0-b99484fe2778,,,Principal,,,,,,Principal,,,M
HCM 2660,William the Young de Fostone,"william de Foston', receiver of the said dean and chapter.",,9abfd4e1-afa6-4e5f-bcc5-3e938256cd0e,0934414c-edea-4554-bf76-dc141f3d2e5c,receiver of the said dean and chapter.,,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2660,dean and chapter of Hereford,dean and chapter of Hereford,,9b17e059-1e7b-4ec4-ab02-9412e1c8b1e0,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2660,Adam de Barewe,"Adam de Barwe, clerk of the dean and chapter of Hereford",,ae13107a-1b51-4d64-9c06-e301f0aa4f33,f08b9c36-dd35-4274-9889-d2d72d8980e5,clerk of the dean and chapter of Hereford,,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2661,prior and convent of Llanthony Prima Wales,Prior and convent of Lanthony Prina,,05624a95-c369-40d4-aa75-d1f2a50ae366,05624a95-c369-40d4-aa75-d1f2a50ae366,prior and convent of Lanthony Prima,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2661,dean and chapter of Hereford,Dean and chapter of Hereford,,12394458-a53c-44e0-b682-6d28592f3c33,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Collective|Clerical,,True,,Collective,,Principal,,,M
HCM 2662,William the Young de Fostone,"Williem called the Young, their receiver,",,1e68154a-0106-46f0-9c30-6d1493511818,0934414c-edea-4554-bf76-dc141f3d2e5c,their receiver,,Agent|Clerical,Agent,True,,,,,,,M
HCM 2662,dean and chapter of Hereford,ean chapter Herefor,,61f834d2-1e31-4703-9217-05d8274b0da6,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2662,John le Secular,cae oe Gaon of Hereford,,371b0e6a-5bb6-4fc4-bd99-18efe26af22f,ce6340fa-71ec-4d40-baa0-b99484fe2778,,John le Secular,Principal,,,,,,Principal,,,M
HCM 2663,dean and chapter of Hereford,Dean and chapter of Hereford.,,1c50d13a-70af-4978-837e-df90b2b91608,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2663,Thomas de Orleton,"Thomas de Orleton', clerk",,42fd7034-50ac-4e73-8d37-e78297c2ed90,c5a4cd48-f777-46bb-93ca-d09d2db18a4d,clerk,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2664,William the Young de Fostone,"W., their receiver",,7040fd25-ac72-4ae2-ac1f-2f60418032f9,0934414c-edea-4554-bf76-dc141f3d2e5c,their receiver,for D&C of H|William le Young,Agent,Agent,,,,,,,,M
HCM 2664,John Lyghtfot,"John Lythfot, bailiff of the dean and chapter of Hereford",,a43bcb2b-645e-4b26-8ce3-3a8762b40f93,3a67e78b-ec43-4730-b479-3431c316781b,bailiff of the dean and chapter of Hereford,,Principal|Agent,Agent,,,,,Principal,,,M
HCM 2664,dean and chapter of Hereford,dean and chapter,,92b34fc5-a2a5-4799-95a8-6e68669cdf30,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2665,William the Young de Fostone,"William de Foston', chaplain end receiver of the said dean and chapter.",,a9f0bc64-57e3-4f58-b791-bacd3e88df4d,0934414c-edea-4554-bf76-dc141f3d2e5c,chaplain end receiver of the said dean and chapter.,,Agent|Clerical,Agent,True,,,,,,,M
HCM 2665,dean and chapter of Hereford,dean and chapter of Hereford;,,fdc2dce7-e7aa-4638-9f44-16169bf56266,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2665,Adam de Barewe,"Adam de Barewe, clerk of the dean and chapter of Hereford",,df62d43e-cf8c-4fd2-8e11-619d161a01f1,f08b9c36-dd35-4274-9889-d2d72d8980e5,clerk of the dean and chapter of Hereford,,Principal,,,,,,Principal,,,M
HCM 2666,William the Young de Fostone,William the Young,,00c7b3c8-0b2d-4f31-9905-f025c81f1d57,0934414c-edea-4554-bf76-dc141f3d2e5c,,agent of D&C,Agent,Agent,,,,,,,,M
HCM 2666,William de Hennor,William de henor',,e7945643-8f14-48ca-a43a-5c20fefd6f3f,6da41888-caae-47c2-be6f-bdc1a45e65cf,,,Principal,,,,,,Principal,,,M
HCM 2666,dean and chapter of Hereford,Dean and chapter of the church of Hereford,,d36b7cc1-d3a6-408f-aa7d-bc9ae0fde85b,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2667,John de Bromfeld,John de Bromfeld,,96888b20-8639-4e5b-bec9-74895263aa58,29a76b39-50d2-413e-be92-96f83a736e36,,,Principal,,,,,,Principal,,,M
HCM 2667,John de la Barewe,John de Barwe,,51a713e0-c5c6-4748-a4a3-08e608e3b483,9f198569-1a34-4d35-835d-0b7dea068a59,,of D&C of H,Agent,Agent,,,,,,,,M
HCM 2667,dean and chapter of Hereford,Dean and chapter of the church of St. Ethelbert of Hereford,,76d6fd68-2634-4e4e-a779-42bd7b490915,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2668,William the Young de Fostone,"W. the Young, their receiver.",,fef0325d-21c4-440d-b1d2-b5736e126d94,0934414c-edea-4554-bf76-dc141f3d2e5c,their receiver,agent of D&C,Agent,Agent,,,,,,,,M
HCM 2668,dean and chapter of Hereford,dean and chapter,,ba2b4aeb-c4a6-4640-80e6-6df3aff38593,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2668,Robert de Cotinton,"Robert de Cotinton', clerk of the dean and chapter of Hereford",,d86df368-d527-47d0-974e-b4072deca8c6,d86df368-d527-47d0-974e-b4072deca8c6,clerk of the dean and chapter of Hereford,,Principal,,,,,,Principal,,,M
HCM 2669,John de la Barewe,"John de la Barewe, bailiff of the dean and chapter of Hereford",,a7009096-7ce5-4c6e-81ea-a08b58080d35,9f198569-1a34-4d35-835d-0b7dea068a59,bailiff of the dean and chapter of Hereford,,Principal|Agent,Agent,,,,,Principal,,,M
HCM 2669,dean and chapter of Hereford,dean and chapter.,,15a2a1a5-c942-4a3d-9332-b31412f7051f,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2670,William the Young de Fostone,W. the Young,,c4aff942-91af-425a-896c-a1cb2a682d6a,0934414c-edea-4554-bf76-dc141f3d2e5c,,of the D&C of H,Agent,Agent,,,,,,,,M
HCM 2670,dean and chapter of Hereford,dean and chapter,,6fca44c0-89f7-40b2-8e03-610367633b4c,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2670,Robert de Cotinton,"Robert de Cotinton', clerk of the dean and chapter of Hereford",,17e4fe8d-20b6-4f3a-bd21-f56d57138c65,d86df368-d527-47d0-974e-b4072deca8c6,clerk of the dean and chapter of Hereford,,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2671,William the Young de Fostone,W. the Young.,,f3f76723-4186-4de5-b5a9-62c6f453d748,0934414c-edea-4554-bf76-dc141f3d2e5c,,agent for D&C of H,Agent,Agent,,,,,,,,M
HCM 2671,dean and chapter of Hereford,dean and chapter,,57317cc5-b326-4e36-ac1b-2ea1fdb6374a,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2671,Robert de Cotinton,"Robert de Cotinton', clerk of the dean and chapter of Hereford",,d309ded7-4ae3-4d79-b605-7d763bda40b9,d86df368-d527-47d0-974e-b4072deca8c6,clerk of the dean and chapter of Hereford,,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2672,John Bardulf,"John Bardulf, perpetual vicar of the church of Lugwardyn",,b2923671-12d8-4a16-9e65-b0c516580846,b2923671-12d8-4a16-9e65-b0c516580846,perpetual vicar of the church of Lugwardyn,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2672,dean and chapter of Hereford,Dean and chapter of the cathedral church of Hereford.,,4d19f22d-ea66-4133-b29e-8ea356ba7f92,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2673,Gilbert de Bruera,"Gilbert de Bruera, clerk",,4c7ec4a9-6a34-45d8-8d0f-8ee2f5bd3246,4c7ec4a9-6a34-45d8-8d0f-8ee2f5bd3246,clerk,payment for his services as notary,Principal|Clerical|Scribe,,True,,,Scribe,Principal,,,M
HCM 2673,Thomas de Cantilupe,"Thomas de Cantilupe, one time bishop of Hereford",,481554c2-fd00-4ece-9bef-0cd69cc70735,8bfd4183-ae75-45a5-a469-ed6276915d4b,one time bishop of Hereford,,Dead|Clerical,,True,,,,,,Dead,M
HCM 2673,John de la Barewe,John de Barwe,,1e32ee12-4e70-4ed3-afd4-ff6986eaf0f2,9f198569-1a34-4d35-835d-0b7dea068a59,,for D&C of H,Agent,Agent,,,,,,,,M
HCM 2673,dean and chapter of Hereford,Dean and chapter of the church of Hereford,,dee8815b-8c8c-4701-a4c6-53b562cabba8,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2674,John de Sandale,J. de Sandale,,48966e54-62b4-44dc-8722-b253f813843c,2366b6ed-36e5-4361-a115-fc934657c0be,,tested by,Witness,,,,,,,Witness,,M
HCM 2674,Emericus de Frescobaldi,Emericus de Friscobald',,5eee9a9d-f7f5-4d65-945d-461dc0b6ce33,5eee9a9d-f7f5-4d65-945d-461dc0b6ce33,merchant of the Frescobaldi of Florence,merchant of the Frescobaldi of Florence,Principal,,,,,,Principal,,,M
HCM 2674,clergy of England,Clergy of England,,f89051b0-57e1-4178-b430-92e9c91796af,c809bb1f-d23e-4b5b-85f3-fdb33de94395,,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2674,merchants of the Bardi of Florence,fellow-merchants of the society of Friscobaldi of Florence,,9b93cb1c-5980-437f-8bd3-b210b4b1abb1,d1950155-f130-407a-b763-5005be52390d,merchants of the Bardi of Florence,,Principal|Collective,,,,Collective,,Principal,,,M
HCM 2674,King Edward II,Edward (?II),,61a7cad1-eb68-4c44-9434-d7b9939a4e4a; 9fcf4b8d-bdd8-4bed-b2c1-51d5731a46e3,d4581268-48f2-45c8-8655-11affadc8472,,,Principal,,,,Office,,Principal,,,M
HCM 2674,John de Aqua Blanca,"dean of Hereford, subcollector",,ec3c8ed2-07ec-482e-a2bc-da9cad16fe71,e4da2937-dc23-4b2e-b432-4316fb4b3171,subcollector,,Principal|Clerical|Agent|Office,Agent,True,,Office,,Principal,,,M
HCM 2675,Henry de Hennor,"Henry de Henor', son and executor of the will of William de Henor', deceased;",,50a2ac7c-9963-4eae-9168-03c8d3020f32,50a2ac7c-9963-4eae-9168-03c8d3020f32,"son and executor of the will of William de Henor', deceased;",,Principal|Agent,Agent,,,,,Principal,,,M
HCM 2675,William de Hennor,"William de Henor', deceased",,941b4fed-bbb1-4617-ac6c-b3089ff61c6f,6da41888-caae-47c2-be6f-bdc1a45e65cf,deceased,father to Henry de Henor',Dead,,,,,,,,Dead,M
HCM 2675,dean and chapter of Hereford,Dean and chapter of Hereford,,e3d7fef0-58cb-4eab-8c61-6bbe8c460c62,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2676,prior of Llanthony Prima Wales,Prior of Lanthony Prima in Wales,,87109c78-cada-41d4-9ab1-b41f51adc750,87109c78-cada-41d4-9ab1-b41f51adc750,prior of Lanthony Prima Wales,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2676,John de la Barewe,"John de Barewe, seneschal of the said dean and chapter.",,09e25d6b-0061-48df-935a-4e785ea22955,9f198569-1a34-4d35-835d-0b7dea068a59,seneschal of the said dean and chapter.,,Agent,Agent,,,,,,,,M
HCM 2676,dean and chapter of Hereford,Dean and chapter of the church of St. Ethelbert of Hereford,,8aa6271e-14dc-4aa7-823a-825d76662386,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2678,William de Hyntes,"William de Hyntes, clerk",,94f3e0d6-5491-4cd8-a4e8-193d3285cb16,94f3e0d6-5491-4cd8-a4e8-193d3285cb16,clerk,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2678,dean and chapter of Hereford,Dean and chapter of Hereford,,098019fb-c87d-417f-96ce-ff09531eeb47,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2679,King Edward III,Baward [7II|,,e9ec46dd-ef98-4b3b-9196-1cda5b0c31be,518568ab-fc48-4fe9-9c26-659db6090111,,,Principal,,,,,,Principal,,,M
HCM 2679,Doffus de Barde,offus de Harde,,8311ed6a-f448-4cd3-a581-d8279ab50fde,8311ed6a-f448-4cd3-a581-d8279ab50fde,,"Doffus de Barde [ie of the Bardi, merchants of Florence?]",Agent,Agent,,,,,,,,M
HCM 2679,W. de Norwich,WW. de Norwico,,8d62bbe5-873d-40c8-9aae-53454f52885e,8d62bbe5-873d-40c8-9aae-53454f52885e,,W. de Norwico,Scribe|Witness,,,,,Scribe,,Witness,,M
HCM 2679,dean and chapter of Hereford,"dean amt chapter of Hereford, collectors of the tenth",,7397bd07-5385-4a9e-a58f-1128245a552b,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,collectors of the tenth,,Principal|Clerical|Collective|Agent,Agent,True,,Collective,,Principal,,,M
HCM 2679,merchants of the Bardi of Florence,fellow merchants of the society of the Bardi of Vlerence,,f64c24fe-7318-4a6b-bd8a-a1f8ce2ac108,d1950155-f130-407a-b763-5005be52390d,merchants of the Bardi of Florence,Bardi of Florence,Collective,,,,Collective,,,,,M
HCM 2679,Roger Ardyngelli,Roger Ardyngelli,,97a22b13-da3d-43fa-bc45-883d353c6620,db45b071-9688-41da-a34d-d7a846329bad,,,Agent,Agent,,,,,,,,M
HCM 2680,Giles the Tailor,"Giles, clerk, called the tailor (edeeans",,d02bcd7e-3161-4a52-a025-d877a90dda2d,4c6b4fff-36cb-4d2d-8f68-620d78ad255c,"clerk, called the tailor (edeeans",called the tailor (cissor) [awesome| scissors!],Principal|Clerical,,True,,,,Principal,,,M
HCM 2680,dean and chapter of Hereford,Dean and chapter of the church of Hereford,,11c29382-6cd4-4bb5-8272-bf42d6c3ecb5,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2681,John de Whiteneye,"John de Whytheneye, chaplain, perpetual vicar in the church of Hereford, and receiver of the one year oes sc by rere John XXII to the King of Engl for the relief of his debts",,5358b806-c774-4a7a-8f7c-18d4e416c255,065ab62d-d109-4135-a2bc-fbbc85091ed7,"chaplain, perpetual vicar in the church of Hereford, and receiver of the one year oes sc by rere John XXII to the King of Engl for the relief of his debts",,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2681,Pope John XXII,John XXII,,3a7c1a0b-03be-46fc-89cb-6a4bc95104de,315f9317-8b80-47ff-a6f9-7fa534a50ef8,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2681,dean and chapter of Hereford,Dean and chapter of the aforesaid church,,2fe80043-17fc-4da0-8214-a87725f288d0,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2681,King Edward II,King of Engl,,99d0a3e0-0a4c-49cd-b2ef-8a75f1d5c46f,d4581268-48f2-45c8-8655-11affadc8472,,,Principal,,,,,,Principal,,,M
HCM 2682,Richard Hervy,Richard °,,4ca2eacb-519c-4d3a-ace9-8978d45114de,8004dd89-dcf2-4d6f-97b9-8a3978ae5437,,"Richard Hervi, clerk of Hereford",Principal|Clerical,,True,,,,Principal,,,M
HCM 2682,Richard de Vernoun,Ric  de Sones.,,d751fcca-6b5b-44e9-ab36-9ef8f93042c7,921d4563-9018-48c7-bf9d-fd9726ba675b,,Richard de Vernon,Clerical|Agent,Agent,True,,,,,,,M
HCM 2682,dean and chapter of Hereford,er of Herefor e,,899f86e8-56c8-4339-83f9-30b386743e72,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,Dean and chapter of Hereford,Clerical|Collective|Principal,,True,,Collective,,Principal,,,M
HCM 2683,abbot of Wigmore,"Abbot of Wygemor', coilector",,56478df8-7b51-4d75-86dd-8b12b2a026c2,0fa1a81c-a076-4031-8ce8-9e6524b39d01,,,Principal|Clerical|Office|Agent,Agent,True,,Office,,Principal,,,M
HCM 2683,Pope John XXII,Pope John XXII,,d34f712f-d1a9-46ee-aeac-18884d8740c5,315f9317-8b80-47ff-a6f9-7fa534a50ef8,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2683,Hugh de Turpleton,"il, de Turpleton’",,6ca6ed05-ebf4-4a84-bfa2-4ffee4c5d37c,5c10aa36-835f-4e23-94ae-d8fdc1ff15c9,de Turpleton’,"(frater) H. de Turpleton'; probably Hugh, which is attested name",Agent|Clerical,Agent,True,,,,,,,M
HCM 2683,dean and chapter of Hereford,Chapter of the church of Hereford,,19d84110-f6ed-4ad6-b370-a6bfa081443d,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2683,King Edward II,king of England,,8c8817a3-3a07-4682-ac07-9db7a9104c2c,d4581268-48f2-45c8-8655-11affadc8472,,,Principal,,,,,,Principal,,,M
HCM 2684,Pope John XXII,Pope John,,6e9afe56-e77c-413d-b5fc-29b8f06bcb85,315f9317-8b80-47ff-a6f9-7fa534a50ef8,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2684,Philip de la More,"Philip de la More, clerks, subcollectors",,a27bf6fa-6c9b-4e9d-a1fe-5f504b84edc8,a6e638ef-0f9b-4e4b-8fa6-0be288356796,"clerks, subcollectors",fellow subcollector with Thomas de Boleye,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2684,dean and chapter of Hereford,Dean and chapter of the cathedral church of Hereford.,,ed63dd4d-5fd1-4942-a329-b80ec615162c,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2684,Thomas de Boleye,Thomas de Boleye,,faa16933-6cb6-4137-856b-941f29e1af72,ca66eefc-2188-4433-96b3-635728d502c7,,clerk|subcollector with Philid de la more for the tenth,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 2685,king's justices at Westminster,king's justices at Westminster.,,24c2f651-5285-4c6d-a2f1-814e0201d79b,173f2d0d-4173-4c16-ba9f-63874bf10009,,,Collective|Adjudicator,Adjudicant,,,Collective,,,,,M
HCM 2685,Roger de Chaundos,"Roger de Chaundos, sheriff of Hereford;",,0651c4fc-209b-4250-95e0-a36eb4c5e948,39aa7c46-a935-4965-8dd6-28b4bf48dcc2,sheriff of Hereford,,Principal|Agent,Agent,,,,,Principal,,,M
HCM 2685,Giles the Tailor,Giles le Taillour of Hereford,,480ec0e6-080b-4cf9-9e57-a8ca5dbc0ce3,4c6b4fff-36cb-4d2d-8f68-620d78ad255c,,,Agent,Agent,,,,,,,,M
HCM 2685,King Edward III,the king,,187a3133-d8ed-4bf6-9fb6-96d3d4ea9907,518568ab-fc48-4fe9-9c26-659db6090111,,,Principal,,,,,,Principal,,,M
HCM 2685,dean and chapter of Hereford,Deen and chapter of the church of St. Ethelbert of Hereford,,b1b30cb4-71af-40c0-babd-a6bfbe11d9d5,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2686,Richard de Sydenhale,archdescon of Salop,,fcb51f7f-968f-438b-8e76-b3f51540b49d,4d19154b-4d0e-4da3-8229-ef5455db85ba,archdeacon of Shropshire,Richard de Sydenhale archdeacon of Shropshire from 1333 Jan,Principal|Clerical|Office,,True,,Office,,Principal,,,M
HCM 2686,Walter rector of Colmynton,"walter, rector of the church of Colmynton’",,7e551a84-a231-4d90-a015-33c579027676,7e551a84-a231-4d90-a015-33c579027676,rector of Colmynton’,,Principal|Clerical,,True,,,,Principal,,,M
HCM 2686,vicar of Stanton Lacy,vicar of the church of Stanton' Lacy,,8d097d25-9d7e-400e-ba89-bace92f0f72b,8d097d25-9d7e-400e-ba89-bace92f0f72b,vicar of Stanton Lacy,,Principal|Clerical|Office,,True,,Office,,Principal,,,M
HCM 2686,dean and chapter of Hereford,dean ond chapter of Hereford,,f3e1cd65-8d04-49b1-9da4-11a816791312,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 2686,Hugh vicar of Duddlebury,"Hugh, vicar of the chureh of Duddelebur',",,f912a991-6930-4308-9383-e34d93708d46,f912a991-6930-4308-9383-e34d93708d46,vicar of Duddlebury,,Principal|Clerical,,True,,,,Principal,,,M
