Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 2650	ROCELIP?	Colewell; Hereford	1294-11-23T00:00:00Z		1294,  The Feast of St,  Clement,  Martyr ,   November 23		Hereford	RECEIPT	1294, The Feast of St, Clement, Martyr ,  November 23, ROCELIP?
HCM 2651	RECEIPT	Hereford	1295-05-21T00:00:00Z		1295,  Saturday next after the Feast ,   of St. Sthelbert [lay 21].		Hereford		1295, Saturday next after the Feast ,  of St. Sthelbert [lay 21]., ROCEIPT
HCM 2652	QUITTANCE f	Hereford	1296-05-07T00:00:00Z		1296,  Monday next after the Feast of | the Invention of the Holy Cross {May 7].		Hereford		1296, Monday next after the Feast of | the Invention of the Holy Cross {May 7]., QUITTANCE f
HCM 2653	RECEIPT	Hereford	1298-10-18T00:00:00Z		1298,  Saturday,  the Feast of st. Luke the Svangelist [Oet. 18).		Hereford	RECEIPT	1298, Saturday, the Feast of st. Luke the Svangelist [Oet. 18)., RECSIPT
HCM 2654	QUITTANCE	Hereford	1298-10-11T00:00:00Z		1298,  in the Feast of St. luke the ,   Evangelist .Oct. 18].		Hereford		1298, in the Feast of St. luke the ,  Evangelist .Oct. 18]., QUITTANCE
HCM 2655		Hereford	1299-10-10T00:00:00Z		1299,  the Feast of St. Paulinus,  bishop LOct. 10}., RECEIPT		Hereford		1299, the Feast of St. Paulinus, bishop LOct. 10}., RECEIPT
HCM 2656	RECEIP?		1300-05-11T00:00:00Z		1300,  Wednesday next after the Feast of ,   St. John snte portam Letinas iMey 11]			RECEIPT	1300, Wednesday next after the Feast of ,  St. John snte portam Letinas iMey 11], RECEIP?
HCM 2657	RECEIPT	Hereford	1300-09-24T00:00:00Z		1300,  Saturday next after the Feast of st. Matthew the Apostle | Sept. 24].		Hereford		1300, Saturday next after the Feast of st. Matthew the Apostle | Sept. 24]., RECEIPT
HCM 2658	MANDATE	London	1302-04-03T00:00:00Z		1302,  April 3.		London		1302, April 3., MANDATE
HCM 2659	QUITTANCE	Hereford	1302-10-28T00:00:00Z		1302,  in the Feast of Simon and Judas : the Apostles LOct. 28)		Hereford		1302, in the Feast of Simon and Judas : the Apostles LOct. 28), QUITTANCE
HCM 2660	RECEIPT	Hereford	1302-01-01T00:00:00Z	1303-12-31T00:00:00Z	1303.		Hereford		1303., RECEIPT
HCM 2661	RECEIPT		1304-01-31T00:00:00Z		1303/4,  ae next before the Feast of ,   the Purification of the Blessed Virgin [January 31)				1303/4, ae next before the Feast of ,  the Purification of the Blessed Virgin [January 31), RECEIPT
HCM 2662	QUITTANCE	Hereford	1304-07-25T00:00:00Z		1304,  the Feast of St. James the ,   Apostle fouiy 25/6		Hereford	July 25	1304, the Feast of St. James the ,  Apostle fouiy 25/6, QUITTANCE
HCM 2663	RECEIPT		1305-09-29T00:00:00Z		[1305],  circa September 29	approx			[1305], circa September 29, RECEIPT
HCM 2664	QUITTANCE	Hereford	1305-03-31T00:00:00Z		1305,  2 Kal. April [March 31]		Hereford		1305, 2 Kal. April [March 31], QUITTANCE
HCM 2665	RECEIPT		1305-09-28T00:00:00Z		1305,  in the Vigil of the Feast of St. Michael [Sept. 28]				1305, in the Vigil of the Feast of St. Michael [Sept. 28], RECEIPT
HCM 2666	QUITTANCE	Hereford	1305-10-09T00:00:00Z		1305,  in the Feast of St. Dionysius [Oct. 9].		Hereford		1305, in the Feast of St. Dionysius [Oct. 9]., QUITTANCE
HCM 2667	RECEIPT	London	1305-10-23T00:00:00Z		1305,  Saturday next after the Feast of St. Luke the Evangelist [Oct. 23].		London		1305, Saturday next after the Feast of St. Luke the Evangelist [Oct. 23]., RECEIPT
HCM 2668	QUITTANCE	Hereford	1306-04-01T00:00:00Z	1306-04-30T00:00:00Z	1306,  April	approx	Hereford	only month given	1306, April, QUITTANCE
HCM 2669	QUITTANCE	Hereford	1306-05-15T00:00:00Z		1306,  Sunday next before the Feast of St. Ethelbert,  king and martyr [May 15]		Hereford		1306, Sunday next before the Feast of St. Ethelbert, king and martyr [May 15], QUITTANCE
HCM 2670	QUITTANCE	Hereford	1306-10-15T00:00:00Z		1306,  Saturday,  the day after the Feast of St. Kalixtus [October 15]		Hereford		1306, Saturday, the day after the Feast of St. Kalixtus [October 15], QUITTANCE
HCM 2671	QUITTANCE	Hereford	1307-10-01T00:00:00Z	1307-10-31T00:00:00Z	1307,  October.	approx	Hereford	only month given	1307, October., QUITTANCE
HCM 2672	RECEIPT	Hereford	1307-10-02T00:00:00Z		1307,  Oct. 2		Hereford		1307, Oct. 2, RECEIPT
HCM 2673	QUITTANCE	London	1308-07-12T00:00:00Z		1308,  July 12		London		1308, July 12, QUITTANCE
HCM 2674	MANDATE	Westminster	1310-11-12T00:00:00Z		?1310,  November 12		Westminster	approx date	?1310, November 12, MANDATE
HCM 2675	QUITTANCE	Hereford	1311-07-21T00:00:00Z		1311,  in the Feast of St. Praxedes,  Virgin [July 21].		Hereford		1311, in the Feast of St. Praxedes, Virgin [July 21]., QUITTANCE
HCM 2676	RECEIPT	chapter-house at Hereford	1316-02-18T00:00:00Z		1315/6,  Wednesday next after the Feast of St. Valentine [February 18]		chapter-house at Hereford		1315/6, Wednesday next after the Feast of St. Valentine [February 18], RECEIPT
HCM 2678	RECEIP? f	Hereford	1318-05-06T00:00:00Z		1318,  Monday next after the Feast of St,  ,   John gente porten Latinam [itay 6].		Hereford	May 8, RECEIPT	1318, Monday next after the Feast of St, ,  John gente porten Latinam [itay 6]., RECEIP? f
HCM 2679	MANDATE	Westminster	1318-05-08T00:00:00Z		1318,  May 8		Westminster		1318, May 8, MANDATE
HCM 2680	RECEIPT	Hereford	1318-07-16T00:00:00Z		1318,  1m the Vigil of St. Kenelm,  king ,    and martyr {duly 16].		Hereford		1318, 1m the Vigil of St. Kenelm, king ,   and martyr {duly 16]., RECEIPT
HCM 2681	RECEIPT	Hereford	1318-12-01T00:00:00Z		1318,  Friday next after the Feast ,   St. Andrew the Apostle thecsaber i”		Hereford	December 1	1318, Friday next after the Feast ,  St. Andrew the Apostle thecsaber i”, RECEIPT
HCM 2682	RECEIPT	Hereford	1322-10-14T00:00:00Z		1322,  2 Id. Oct. |October 14.		Hereford		1322, 2 Id. Oct. |October 14., RECEIPT
HCM 2683	RECEIPT	Hereford	1323-03-05T00:00:00Z		1322/3,  Saturday next after the Feast of		Hereford	March 5	1322/3, Saturday next after the Feast of, RECEIPT
HCM 2684	RECEIPT	Hereford	1331-06-24T00:00:00Z		1331,  June 24.		Hereford		1331, June 24., RECEIPT
HCM 2685	QUITTANCE	Hereford	1331-10-06T00:00:00Z		1331,  Sunday next before the Feast of St. Dionysius | October 6		Hereford		1331, Sunday next before the Feast of St. Dionysius | October 6, QUITTANCE
HCM 2686	LETTER	Stanton	1333-06-17T00:00:00Z		1333,  Thursday in the Feast of St. ,   Botuiph | June 17).		Stanton		1333, Thursday in the Feast of St. ,  Botuiph | June 17)., LETTER
HCM 2687	RECEIPT	Hereford	1333-11-10T00:00:00Z		1333,  November 10		Hereford		1333, November 10,, RECEIPT
HCM 2688.A	SPATEMENT		1339-01-01T00:00:00Z	unknown	post 1338	approx		STATEMENT	post 1338, SPATEMENT
HCM 2688	RECEIPT	Hereford	1338-10-01T00:00:00Z		1338,  October 1		Hereford		1338, October 1,, RECEIPT
HCM 2689	RECEIPT	‘yggemor'.	1341-06-23T00:00:00Z		1341,  June 23.		‘yggemor'.		1341, June 23., RECEIPT
HCM 2690	INSPEXIMUS AND CONFIRMATION	chapter-house at Hereford	1349-06-08T00:00:00Z		1349,  June 8.		chapter-house at Hereford	inspeximus date, subdivide?	1349, June 8., INSPEXIMUS
HCM 2690-em	RELEASE	Hereford	1349-06-07T00:00:00Z		June 7,  1349		Hereford	(embedded doc), RELEASE	June 7, 1349,, release
HCM 2691	RECEIPT	Hereford	1352-12-09T00:00:00Z		1352,  5 Id,  December December 9|		Hereford		1352, 5 Id, December December 9|, RECEIPT
HCM 2699	RECEIPT	Hereford	1347-11-10T00:00:00Z		1347 21 ?Edward III,  November 10.		Hereford		1347 21 ?Edward III, November 10., RECEIPT
HCM 27	DUPLICATE		1316-02-21T00:00:00Z		1315/6,  Saturday next before the Feast of St. Peter in Cathedra. [February 21].				1315/6, Saturday next before the Feast of St. Peter in Cathedra. [February 21]., DUPLICATE
HCM 2700	RECEIPT	Hereford	1293-06-15T00:00:00Z		1293,  17 Kalends July June 15.		Hereford		1293, 17 Kalends July June 15., RECEIPT
HCM 2701	QUITTANCE	Hereford	1297-07-22T00:00:00Z		1297,  Thursday,  the day efter the Feast of the Sevén Brothers Mortyrs (July 22]		Hereford		1297, Thursday, the day efter the Feast of the Sevén Brothers Mortyrs (July 22], QUITTANCE
HCM 2702	QUITTANCE	Hereford	1297-09-06T00:00:00Z		1297,  Friday next before the Feast of the Nativity of the Blessed ,  Virgin] Mary LSept. 6]		Hereford		1297, Friday next before the Feast of the Nativity of the Blessed , Virgin] Mary LSept. 6], QUITTANCE
HCM 2703	QUITTANCE	Hereford	1299-04-26T00:00:00Z		1299,  Sunday,  the day after the Feast of Ste Mark the Evangelist | April 26].		Hereford		1299, Sunday, the day after the Feast of Ste Mark the Evangelist | April 26]., QUITTANCE
HCM 2704	QUITTANCE	Hereford	1301-02-12T00:00:00Z		1300/1,  the day before the Ides of February | Feb. 12].		Hereford		1300/1, the day before the Ides of February | Feb. 12]., QUITTANCE
HCM 2705	QUITTANCE	greater church of Hereford	1302-05-06T00:00:00Z		1302,  Sunday next after the Feast of the Invention of the Holy Cross | May 6]		greater church of Hereford		1302, Sunday next after the Feast of the Invention of the Holy Cross | May 6], QUITTANCE
HCM 2706	QUITTANCE	Hereford	1302-10-10T00:00:00Z		1902 the day after the Feast of St. .   D nysius LOecte 10j		Hereford	1302, Oct 10	1902 the day after the Feast of St. .   D nysius LOecte 10j, QUITTANCE
HCM 2707	QUITTANCE	Hereford	1303-04-27T00:00:00Z		1503,  Saturday next before the Feast of Philip and James the Apostles |April 27].		Hereford	1303	1503, Saturday next before the Feast of Philip and James the Apostles |April 27]., QUITTANCE
HCM 2708	QUITTANCE	London	1303-07-10T00:00:00Z		1303,  July 10		London		1303, July 10,, QUITTANCE
HCM 2709	QUITTANCE	Hereford	1303-10-20T00:00:00Z		1303,  Sunday,  the day after the |  Yeast of St. Preteseida (Oct,  20		Hereford		1303, Sunday, the day after the |  Yeast of St. Preteseida (Oct, 20, QUITLANCE
HCM 271	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm,
HCM 2710	RETURN	Thestate	1304-03-27T00:00:00Z		1304,  Fridey next before Esster March 27.		Thestate		1304, Fridey next before Esster March 27., RETURN
HCM 2710-em	MANDATE	chapter	1303-03-30T00:00:00Z		Saturday next before Pein Sunday fi, e,  March 50],  1303		chapter	(embedded doc), (embedded doc)	mandate, Saturday next before Pein Sunday fi,e, March 50], 1303
HCM 2711	QUITTANCE	Hereford	1304-10-03T00:00:00Z		13: Satur after the Feast ,   . of st,  itichael. foot. 3].		Hereford	1304, October 3, QUITTANCE	13: Satur after the Feast ,  . of st, itichael. foot. 3]., CUITTANCE
HCM 2712	QUITTANCE	Hereford	1305-10-06T00:00:00Z		1305 the Feast of St. Faith the Virgin [Oct. 6].		Hereford		1305 the Feast of St. Faith the Virgin [Oct. 6]., QUITTANCE
HCM 2713	QUITTANCE	Hereford	1306-03-29T00:00:00Z		1306,  Tuesday next after the Feats of the Annunciation [March 29]		Hereford		1306, Tuesday next after the Feats of the Annunciation [March 29], QUITTANCE
HCM 2714	QUITTANCE	London	1306-04-28T00:00:00Z		1306,  Thursday next after the Feast of St. Mark [April 28].		London		1306, Thursday next after the Feast of St. Mark [April 28]., QUITTANCE
HCM 2715	RECEIPT	Hereford	1306-10-01T00:00:00Z		1306,  October 1.		Hereford		1306, October 1., RECEIPT
HCM 2716	RECEIPT		1306-01-01T00:00:00Z	1306-12-31T00:00:00Z	1306				1306, RECEIPT
HCM 2717	QUITTANCE	St. Paul's London	1307-01-16T00:00:00Z		1306/7,  January 16		St. Paul's London		1306/7, January 16, QUITTANCE
HCM 2718	QUITTANCE	Hereford	1307-04-01T00:00:00Z	1307-04-30T00:00:00Z	1307,  April.		Hereford	only month given	1307, April., QUITTANCE
HCM 2719	QUITTANCE	Hereford	1307-10-01T00:00:00Z	1307-10-31T00:00:00Z	1307,  October.		Hereford	only month given	1307, October., QUITTANCE
HCM 2720	BOND	Hereford	1307-12-23T00:00:00Z		1307,  Saturday next before the Feast of St. Thomas the Martyr [Dec. 23].		Hereford		1307, Saturday next before the Feast of St. Thomas the Martyr [Dec. 23]., BOND
HCM 2721	QUITTANCE	London	1309-12-03T00:00:00Z		1309,  December 3		London		1309, December 3, QUITTANCE
HCM 2722	QUITTANCE	London	1311-02-03T00:00:00Z		1310/11,  February 3.		London		1310/11, February 3., QUITTANCE
HCM 2723	QUITTANCE	London	1315-10-14T00:00:00Z		1315,  October 14		London		1315, October 14, QUITTANCE
HCM 2725	QUITTANCE	Hereford	1318-08-14T00:00:00Z		1318,  Monday,  the Vigil of the Feast of the  Assuaption of the Blessed Virgin Mary {August 14|.		Hereford		1318, Monday, the Vigil of the Feast of the  Assuaption of the Blessed Virgin Mary {August 14|., QUITTANCE
HCM 2726	QUITTANCE	castle of Hereford	1321-04-16T00:00:00Z		1321,  Thursday next before the Feast .   of Easter | April 16]		castle of Hereford		1321, Thursday next before the Feast .   of Easter | April 16], QUITTANCE
HCM 2727	QUITTANCE	castle of Hereford	1321-11-29T00:00:00Z		1321,  Sunday,  the vigi2 of St. Andrew the .   Apostle LNovember 29].		castle of Hereford		1321, Sunday, the vigi2 of St. Andrew the .   Apostle LNovember 29]., QUITTANCE
HCM 2728	QUITTANCE	Leominster	1325-11-12T00:00:00Z		1325,  Saturday the day after the Feast / of St,  Martin the bishop \November 12)		Leominster		1325, Saturday the day after the Feast / of St, Martin the bishop \November 12), QUITTANCE
HCM 2729	RECEIPT	Hereford	1330-09-25T00:00:00Z		1330,  September 25.		Hereford		1330, September 25., RECEIPT
HCM 2730	QUITTANCE	Hereford	1330-11-10T00:00:00Z		1330,  November 10		Hereford		1330, November 10,, QUITTANCE
HCM 2731	QUITTANCE f	Hereford	1334-05-21T00:00:00Z		1334,  Saturday next after the Feast of St. Ethelbert,  king and martyr |May 21]		Hereford		1334, Saturday next after the Feast of St. Ethelbert, king and martyr |May 21], QUITTANCE f
HCM 2732	QUITTANCE	Hereford	1336-02-02T00:00:00Z		1335/6,  February 2.		Hereford		1335/6, February 2., QUITTANCE
HCM 2734	RECEIPT	Hereford	1353-12-07T00:00:00Z		1353,  the Sctaves of St. Andrew the Apostle [December 7].		Hereford		1353, the Sctaves of St. Andrew the Apostle [December 7]., RECEIPT
HCM 2735	CONFIRMATION		1355-06-16T00:00:00Z		1355,  June 16				1355, June 16, CONFIRMATION
HCM 2741	RECEIPT	Hereford	1361-01-21T00:00:00Z		1360/1 34 Edward |111j,  12 Kelends .   February (Jenuary 21).		Hereford		1360/1 34 Edward |111j, 12 Kelends .   February (Jenuary 21)., RECEIPT
HCM 2742	QUITTANCE		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Barly 14th century.	early 14th century		after 1317, if that's a reference to Richard as LATE bishop of H	Barly 14th century., QUITTANCE
HCM 2743	QUITTANGE	Hereford	1295-03-14T00:00:00Z		1294/5,  March 14		Hereford	QUITTANCE	1294/5, March 14,, QUITTANGE
HCM 2744	QUITTANCE	tereford	1296-11-24T00:00:00Z		1296,  the day after the Feast of St. Clement |Nov. 24)		tereford		1296, the day after the Feast of St. Clement |Nov. 24), QUITTANCE
HCM 2745	QUITTANCE	Hereford in the house of sgainus Richard the young	1299-10-11T00:00:00Z		1299,  Sunday next after the Feast of St Sionysius LOct. 11].		Hereford in the house of sgainus Richard the young		1299, Sunday next after the Feast of St Sionysius LOct. 11]., QUITTANCE
HCM 2746	QUITTANCE	Hereford	1302-09-30T00:00:00Z		1302,  Saturday,  the Feast of St. Jerome Sept. 30		Hereford		1302, Saturday, the Feast of St. Jerome Sept. 30, QUITTANCE
HCM 2747	QUITTANCE	Hereford	1301-10-03T00:00:00Z		1301,  the day after the Feast of St. Leodegar LOcte 3].		Hereford		1301, the day after the Feast of St. Leodegar LOcte 3]., QUITTANCE
HCM 2748	QUITTANCE	Hereford	1306-10-15T00:00:00Z		1306,  Saturday,  the day after the Feast of St. Kalixtus [October 15]		Hereford		1306, Saturday, the day after the Feast of St. Kalixtus [October 15]., QUITTANCE
HCM 2749	QUITTANCE	Hereford	1307-10-31T00:00:00Z		1307-10-01T00:00:00Z		Hereford		QUITTANCE
HCM 275	GRANT in fee-farm	the c es at Hereford	1350-09-27T00:00:00Z		1350,  Monday next before the Feast   of St,  iichael the Archengel (September 27]		the c es at Hereford		1350, Monday next before the Feast   of St, iichael the Archengel (September 27], GRANT in fee-farm
HCM 2750	QUITTANCE	Hereford	1307-11-03T00:00:00Z		1307,  Friday next after All Souls’ Day [Nov. 3]		Hereford		1307, Friday next after All Souls’ Day [Nov. 3], QUITTANCE
HCM 2751	GENERAL RELEASE	Hereford	1311-10-03T00:00:00Z		1311,  5 Non. Oct. [Oct. 3]		Hereford		1311, 5 Non. Oct. [Oct. 3], GENERAL RELEASE
HCM 2753	RiVEIPT	Hereford	1358-03-25T00:00:00Z		1358,  circa March 25	approx	Hereford	RECEIPT	1358, circa March 25,, RiVEIPT
HCM 2779	BOND	Hereford	1309-07-26T00:00:00Z		1309,  Saturday next before the Feast of St. Peter's Ad Vinculs [July 26].		Hereford		1309, Saturday next before the Feast of St. Peter's Ad Vinculs [July 26]., BOND
HCM 2780	ROYAL WANDATE	Westminster	1361-07-12T00:00:00Z		1361,  July 12.		Westminster	ROYAL MANDATE	1361, July 12., ROYAL WANDATE
HCM 279	GRANT in fee-farm		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century	approx			Early 14th century, GRANT in fee-farm
HCM 2797	TRANSCRIPTS,  letters of  proxy	Orvieto	1282-11-27T00:00:00Z		1282,  5 Kal. December November 27		Orvieto	date of transcripts, (doc = transcripts of Letters of Proxy)	1282, 5 Kal. December November 27,, TRANSCRIPTS, letters of  proxy
HCM 2797-em1	Appointment	chapter-house of Hereford	1281-08-14T00:00:00Z		August 14, 1281		chapter-house of Hereford	(embedded doc 1), (embedded doc 1)	APPOINTMENT, August 14, 1281
HCM 2797-em2	APPOINTENT	Hereford	1284-12-07T00:00:00Z		December 7 <a		Hereford	(embedded doc 2), (embedded doc 2)|1284, Dec 7	APPOINTENT, December 7 <a
HCM 2797-em3	MEMORANDUM	ons	1275-01-31T00:00:00Z		January		ons	(embedded doc 3), January 31, 1275|(embedded doc 3)	MEMORANDUM, January
HCM 2798	LETTER	Hereford	1298-06-18T00:00:00Z		1298,  14 Kal. July L June 18.		Hereford		1298, 14 Kal. July L June 18., LETTER
HCM 2799	LETTER	London	1318-11-23T00:00:00Z		13187?,  Thursday,  the Feast of St.   Clement |November 23 |.		London		13187?, Thursday, the Feast of St.   Clement |November 23 |., LETTER
HCM 28	GRANT	Hereford	1308-10-21T00:00:00Z		1308,  Monday next after the Feast of St. Luke the Evangelist [October 21].		Hereford		1308, Monday next after the Feast of St. Luke the Evangelist [October 21]., GRANT
HCM 280	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	cirea 1300.	approx			cirea 1300., GRANT,
HCM 2817	MEMORANDUM	parish church of Bosebur'	1286-08-06T00:00:00Z		1286,  Tuesday next after F,   of St,  Peter af Vinowls. hug.		parish church of Bosebur'	Aug 6	1286, Tuesday next after F,  of St, Peter af Vinowls. hug., MEMORANDUM
HCM 2818	LETTER	monastery of Lyre	1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx	monastery of Lyre		Late 13th. century, LETTER
HCM 2819	NOTARIAL INSTRUMENT		1353-01-19T00:00:00Z		1352/3,  January 19			separate into three?	1352/3, January 19,, NOTARIAL INSTRUMENT
HCM 2819-em1	LETTER OF PROXY	St	1352-11-14T00:00:00Z		1352,  Wednesday next after the Feast of St. Martin,   Bishop and Confessor |i.e,  Nov. 14)		St	(embedded doc 1), (embedded doc 1)	1352, Wednesday next after the Feast of St. Martin,  Bishop and Confessor |i.e, Nov. 14), Letter of proxy
HCM 2819-em2	Letter of per	monastery of St. Mary of lyre in the diocese of  Evreux	1349-05-10T00:00:00Z		1349,  any 10		monastery of St. Mary of lyre in the diocese of  Evreux	(embedded doc 2)|May 10, 1349, (embedded doc 2)|Letter of Proxy	1349, any 10, Letter of per
HCM 2819-em3	Tenor of the settlement		1353-01-15T00:00:00Z		1352/3,  January 15			(embedded doc 3), (embedded doc 3)	1352/3, January 15, Tenor of the settlement
HCM 2837	INSPEXIMUS AND CONFIRMATION	Orvieto	1282-09-01T00:00:00Z		1282,  Kal. Sept. Sept. 1.		Orvieto	date of inspex	1282, Kal. Sept. Sept. 1., INSPEXIMUS
HCM 2837-em	papal letters	the Lateran	1261-02-24T00:00:00Z		5 Kale Mareh,  7 Alexander IV		the Lateran	Someone double check this date	papal letters, 5 Kale Mareh, 7 Alexander IV
HCM 2838	MONITION and MANDATE,  eel letters	Avignon	1343-01-09T00:00:00Z	1342-11-07T00:00:00Z	1342/3,  January 9., 7 Id. Nov.,  1 Clement VI		Avignon	Papal Letters (embedded), date of embedded Papal Letters	1342/3, January 9., MONITION and MANDATE, eel letters, 7 Id. Nov., 1 Clement VI
HCM 2839	MANDATE	London	1355-11-05T00:00:00Z		1355,  November 5.		London		1355, November 5., MANDATE
HCM 2850	PRESENTMENT	Hamme Lacy	1298-01-30T00:00:00Z	"
"	Ledrea 1297 - 1298., Thursday next before the Feast of the Purification of the Blessed Mary,  26 Edward iI).		Hamme Lacy	two documents here?, separate doc?	Ledrea 1297 - 1298., PRESENTMENT, On the dorse:, Estreat, Thursday next before the Feast of the Purification of the Blessed Mary, 26 Edward iI).
HCM 2851	GRANT	Hereford	1321-09-29T00:00:00Z		1321,  3 Kale October | September 29.		Hereford		1321, 3 Kale October | September 29., GRANT
HCM 2852	PRECEPT	Gloucester.	1332-12-20T00:00:00Z		1332,  December 20		Gloucester.		1332, December 20,, PRECEPT
HCM 2853	LETTER		1300-03-01T00:00:00Z	1399-03-01T00:00:00Z	?14th century,  Mareh 1	exact day, approx year			?14th century, Mareh 1, LETTER,
HCM 2854	MEMORANDUM		1357-07-25T00:00:00Z	1357-12-31T00:00:00Z	1357 the Feast of St. James the ‘poctie toaly 25)	approx		1357, post July 25	1357 the Feast of St. James the ‘poctie toaly 25), MEMORANDUM
HCM 2855	PRECEPT		1358-02-08T00:00:00Z		1357/B,  February &			1357/8, Feb 8	1357/B, February &, PRECEPT
HCM 2856	WRIT		1358-02-12T00:00:00Z		1357/8,  February 12				1357/8, February 12,, WRIT
HCM 286	GRANT	Hatfeld' Parva	1343-08-31T00:00:00Z		1343,  Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31)		Hatfeld' Parva		1343, Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31), GRANT
HCM 2869	QUITTANCE	Hereford	1301-10-03T00:00:00Z		1301,  Tuesday,  the day after the Feast of St. Leodegar (Oct. 3].		Hereford		1301, Tuesday, the day after the Feast of St. Leodegar (Oct. 3]., QUITTANCE
HCM 287	GRANT	Ledbury	1316-03-20T00:00:00Z		1315/6,  Saturday next before the Feast of St. Mary in Marcio [March 20]		Ledbury		1315/6, Saturday next before the Feast of St. Mary in Marcio [March 20], GRANT
HCM 2870	QUITTANCE	Hereford	1306-12-20T00:00:00Z		1306,  Tuesday next after the Feast of St. Lucia the Virgin [Dec. 20]		Hereford		1306, Tuesday next after the Feast of St. Lucia the Virgin [Dec. 20], QUITTANCE
HCM 2871	NOTARIAL INSTRUMENT	house of the dean of St. Paul's	1307-02-09T00:00:00Z		1306/7,  5 Id. Feb. [Feb. 9]		house of the dean of St. Paul's		1306/7, 5 Id. Feb. [Feb. 9], NOTARIAL INSTRUMENT
HCM 2872	INDULGENCE	Hereford	1311-01-12T00:00:00Z		1310/11,  Tuesday next after the Feast of the Epiphany [Jan. 12].		Hereford		1310/11, Tuesday next after the Feast of the Epiphany [Jan. 12]., INDULGENCE
HCM 2873	RELEASE	Hereford	1311-04-25T00:00:00Z		1311,  Sunday,  the Feast of St. Mark the Evangelist [April 25].		Hereford		1311, Sunday, the Feast of St. Mark the Evangelist [April 25]., RELEASE
HCM 2874	GRANT	Hereford	1312-11-05T00:00:00Z		1312,  Sunday next after the Feast of All Saints [November 5]		Hereford		1312, Sunday next after the Feast of All Saints [November 5], GRANT
HCM 2875	QUITTANCE	chapter-house at Hereford	1313-01-20T00:00:00Z		1312/3,  Saturday,  the Feast of SS. Fabian and Sebastian [Jan. 20]		chapter-house at Hereford		1312/3, Saturday, the Feast of SS. Fabian and Sebastian [Jan. 20], QUITTANCE
HCM 2876	GRANT		1314-02-10T00:00:00Z		1313/4,  February 10				1313/4, February 10,, GRANT
HCM 2877	INJUNCTION	greater church of Hereford	1316-02-27T00:00:00Z		1315/6,  Friday next after the Feast of St. Matthias the Apostle [February 27]		greater church of Hereford		1315/6, Friday next after the Feast of St. Matthias the Apostle [February 27], INJUNCTION
HCM 2878	RELEASE	Bosebury	1316-08-27T00:00:00Z		1316,  Friday next after the Feast of St. Bartholomew the Apostle [August 27].		Bosebury		1316, Friday next after the Feast of St. Bartholomew the Apostle [August 27]., RELEASE
HCM 2879	RELEASE	Hereford	1317-04-05T00:00:00Z		1317,  Tuesday next after the Feast of Easter [April 5]		Hereford		1317, Tuesday next after the Feast of Easter [April 5], RELEASE
HCM 2880	ROYAL MANDATE	Westminster	1317-05-26T00:00:00Z		1317,  May 26		Westminster		1317, May 26, ROYAL MANDATE
HCM 2881	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., GRANT
HCM 2882	GRAN?		1320-01-12T00:00:00Z		1319/20,  January 12. .			GRANT	1319/20, January 12. ., GRAN?
HCM 2883	PROBATE,  Will	Hereford	1320-03-20T00:00:00Z		1519/20,  Thursday,  the Feast of St * — Guthbert {sic}‘itarch 20]., ash Wednesday,  1319/20		Hereford	1319/20, March 20, (Date of will, embedded text in probate), 1319/20, March 20, text available via HathiTrust edition, date of will; main date in document = date of Probate, check long version	1519/20, Thursday, the Feast of St * — Guthbert {sic}‘itarch 20]., PROBATE, Will, ash Wednesday, 1319/20, 1519/20, Thursday, the Feast of St * — Guthbert {sic}‘itarch 20]., PROBATE, ash Wednesday, 1319/20, 186-190}
HCM 2884	RELEASE	anaaff.	1323-06-08T00:00:00Z		1323,  6 Id,  Jun. |June 8		anaaff.		1323, 6 Id, Jun. |June 8,, RELEASE
HCM 2885	MEMORANDUM	Hereford	1324-08-28T00:00:00Z		1324,  Tuesday next after the Feast of &t. Bartholomew ,  August 28].		Hereford		1324, Tuesday next after the Feast of &t. Bartholomew , August 28]., MEMORANDUM
HCM 2886	Appointment		1324-01-01T00:00:00Z	1332-12-31T00:00:00Z	Lgires 1324 - 1332.	approx			Lgires 1324 - 1332., APPOINTMENT
HCM 2887	RECORD	chapel of rh ee ten at Herefor	1333-02-25T00:00:00Z		1332/3,  5 Kal,  March |February 25).		chapel of rh ee ten at Herefor	RECORD	1332/3, 5 Kal, March |February 25)., RECGRD
HCM 2888	ASSIGNMENT	Lanthon'.	1335-05-08T00:00:00Z		1335,  May 8		Lanthon'.		1335, May 8,, ASSIGNMENT
